Name,Partner 1,Partner 2,Partner 3,Partner 4,Partner 5,Partner 6,Partner 7,Starting Value 1,Starting Value 2,Starting Value 3,Starting Value 4,Starting Value 5,Starting Value 6,Starting Value 7,Growth 1,Growth 2,Growth 3,Growth 4,Growth 5,Growth 6,Growth 7
Arianna,Scott<:AffinFire:1082456363805970503>,Katie<:AffinThunder:1082455516904706129>,Christine<:AffinWind:1082455517802287206>,0,0,0,0,81,61,79,0,0,0,0,21,21,112,0,0,0,0
Nancy,Kayla<:AffinLight:1082456439785795684>,Scott<:AffinFire:1082456363805970503>,Kristia<:AffinAnima:1082455515327635487>,Keegan<:AffinDark:1082455060455370883>,Luke<:AffinWind:1082455517802287206>,Serah<:AffinLight:1082456439785795684>,Will<:AffinAnima:1082455515327635487>,61,61,61,61,61,61,61,21,21,21,21,21,21,21
Scott,Arianna<:AffinIce:1082455062976155729>,Nancy<:AffinThunder:1082455516904706129>,Moses<:AffinWind:1082455517802287206>,0,0,0,0,81,61,79,0,0,0,0,21,21,112,0,0,0,0
Weston,Sarah<:AffinThunder:1082455516904706129>,Shelton<:AffinWind:1082455517802287206>,Alex<:AffinWind:1082455517802287206>,0,0,0,0,61,79,79,0,0,0,0,21,48,80,0,0,0,0
Sammy,Keegan<:AffinDark:1082455060455370883>,Emily<:AffinWind:1082455517802287206>,Reilly<:AffinThunder:1082455516904706129>,0,0,0,0,61,61,79,0,0,0,0,21,21,24,0,0,0,0
Kayla,Nancy<:AffinThunder:1082455516904706129>,Kristia<:AffinAnima:1082455515327635487>,Johann<:AffinAnima:1082455515327635487>,0,0,0,0,61,61,79,0,0,0,0,21,21,80,0,0,0,0
Sarah,Weston<:AffinWind:1082455517802287206>,Ariel<:AffinWind:1082455517802287206>,Alyssa<:AffinFire:1082456363805970503>,0,0,0,0,61,61,79,0,0,0,0,21,21,112,2,3,0,0
Joe,Andrew<:AffinLight:1082456439785795684>,Jeremiah<:AffinIce:1082455062976155729>,Lydia<:AffinIce:1082455062976155729>,0,0,0,0,79,61,79,0,0,0,0,21,21,112,0,0,0,0
Jeremiah,Michelle<:AffinFire:1082456363805970503>,Jordan<:AffinDark:1082455060455370883>,Joe<:AffinIce:1082455062976155729>,0,0,0,0,79,61,61,5,10,0,0,24,21,21,2,2,0,0
Keegan,Will<:AffinAnima:1082455515327635487>,Nancy<:AffinThunder:1082455516904706129>,Sammy<:AffinFire:1082456363805970503>,0,0,0,0,79,61,61,5,5,0,0,21,21,21,3,2,0,0
Katie,Brandon<:AffinLight:1082456439785795684>,Arianna<:AffinIce:1082455062976155729>,Michelle<:AffinFire:1082456363805970503>,0,0,0,0,81,61,61,5,10,0,64,22,21,21,3,2,2,5
Andrew,Joe<:AffinIce:1082455062976155729>,Reid<:AffinFire:1082456363805970503>,Jordan<:AffinDark:1082455060455370883>,0,0,0,0,79,79,61,3,0,0,0,21,112,21,0,0,0,0
Kristia,Nancy<:AffinThunder:1082455516904706129>,Kayla<:AffinLight:1082456439785795684>,Emily<:AffinWind:1082455517802287206>,0,0,0,0,61,61,79,0,0,0,0,21,21,21,0,0,0,0
Michelle,Jeremiah<:AffinIce:1082455062976155729>,Katie<:AffinThunder:1082455516904706129>,Alex<:AffinWind:1082455517802287206>,0,0,0,0,79,61,79,0,0,0,0,24,21,80,0,0,0,0
Kenneth,0,0,0,0,0,0,0,0,0,5,5,10,15,0,3,2,2,2,3,3,0
Nikko,Brandon<:AffinLight:1082456439785795684>,Reilly<:AffinThunder:1082455516904706129>,Wade<:AffinAnima:1082455515327635487>,0,0,0,0,79,57,57,0,0,0,0,24,22,22,0,0,0,0
Luke,Nancy<:AffinThunder:1082455516904706129>,Serah<:AffinLight:1082456439785795684>,Ryan<:AffinAnima:1082455515327635487>,0,0,0,0,61,62,15,0,0,0,0,21,21,64,0,0,0,0
Shelton,Weston<:AffinWind:1082455517802287206>,Ryan<:AffinAnima:1082455515327635487>,Wade<:AffinAnima:1082455515327635487>,0,0,0,0,79,31,31,0,0,0,0,48,48,48,0,0,0,0
Reilly,Sammy<:AffinFire:1082456363805970503>,Nikko<:AffinIce:1082455062976155729>,Cale<:AffinAnima:1082455515327635487>,0,0,0,0,79,57,79,0,0,0,0,24,22,32,0,0,0,0
Reid,Andrew<:AffinLight:1082456439785795684>,Brandon<:AffinLight:1082456439785795684>,Ariel<:AffinWind:1082455517802287206>,0,0,0,0,79,79,79,0,0,0,0,112,112,112,0,0,0,0
Ryan,Luke<:AffinWind:1082455517802287206>,Shelton<:AffinWind:1082455517802287206>,Lydia<:AffinIce:1082455062976155729>,0,0,0,0,15,31,79,0,0,0,0,64,48,112,0,0,0,0
Emily,Nike<:AffinDark:1082455060455370883>,Kristia<:AffinAnima:1082455515327635487>,Sammy<:AffinFire:1082456363805970503>,0,0,0,0,31,79,61,5,0,0,0,48,21,21,2,0,0,0
Will,Nancy<:AffinThunder:1082455516904706129>,Keegan<:AffinDark:1082455060455370883>,Cale<:AffinAnima:1082455515327635487>,0,0,0,0,61,79,79,64,5,0,0,21,21,32,4,3,0,0
