Name,Class,Portrait,Lv,HP,Str,Mag,Skl,Spd,Def,Res,Luck,Con,Mov,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Str Growth,Mag Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,Skills,Promotes,Promotion Class,HP Gains,Str Gains,Mag Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Staff Gains,Anima Gains,Light Gains,Dark Gains
Ezekiel,Rune Thief,https://cdn.discordapp.com/attachments/838081910612820068/1193356920497655889/image.png?ex=65ac6b3d&is=6599f63d&hm=8aa9f2a8cd9a8f6adf4f00550ac8729c9e055d241b24a44f8169c53aa23b20a2&,1,21,4,4,10,11,2,4,8,7,6,D,None,None,None,None,None,None,None,60,25,35,50,55,20,25,40,"Locktouch, Steal+, Shove",Yes,Trickster,1,1,1,1,1,1,1,1,0,+70,None,None,None,None,None,None,E
Helena,Archer ,https://cdn.discordapp.com/attachments/838081910612820068/1193357060289609748/image.png?ex=65ac6b5e&is=6599f65e&hm=ab6cded6c3f28f16413b94b2d0f7bafa8267f2cdd209826ef7a22748c794a75d&,8,22,12,1,15,6,6,0,8,6,5,None,None,None,C,None,None,None,None,60,40,5,60,20,25,5,30,"Shove, Crit +15 (Upon Promotion)",Yes,Sniper,3,1,0,2,2,0,0,1,1,None,None,None,+40,None,None,None,None
Liquirizia,Soldier ,https://cdn.discordapp.com/attachments/838081910612820068/1193357201545367572/image.png?ex=65ac6b80&is=6599f680&hm=d98f5382d266fbd6fdcb54928071252e213eeb49580a0fa3e52ad4f2a4804f23&,2,22,6,0,7,10,4,1,6,7,5,None,D,None,None,None,None,None,None,70,35,5,35,60,25,5,30,"Shove, Crit +15 (Upon Promotion)",Yes,Dragoon,2,1,0,1,0,2,0,3,1,None,+40,None,None,None,None,None,None
Samir,Pirate,https://cdn.discordapp.com/attachments/838081910612820068/1193357350606737448/image.png?ex=65ac6ba3&is=6599f6a3&hm=070c48e9e23a8af8cd258c49cfb3e3cae66cc913a1c6651fac920c5dad030340&,3,25,10,0,7,6,6,0,5,12,5,None,None,C,None,None,None,None,None,80,55,5,30,35,30,5,40,"Shove, Crit +15 (Upon Promotion)",Yes,Berserker,3,2,0,2,1,0,0,3,1,None,None,+40,None,None,None,None,None
Ginepro,Priest,https://cdn.discordapp.com/attachments/838081910612820068/1193357448719896596/image.png?ex=65ac6bbb&is=6599f6bb&hm=648064c4a3c8133c76f15f734e383a23b6c9f86a491408666567704669812e9e&,1,20,1,4,6,7,2,5,2,5,5,None,None,None,None,D,None,None,None,70,10,50,40,40,20,25,30,Shove,Yes,Bishop,1,0,3,0,1,0,2,2,1,None,None,None,None,+40,D,None,None
Anatolij,Mercenary,https://cdn.discordapp.com/attachments/838081910612820068/1193357544496836739/image.png?ex=65ac6bd2&is=6599f6d2&hm=98cbe691b0efbda0390846105553963e45a8734ba3eafc500444ed161cf26302&,3,26,7,0,12,7,4,3,5,13,5,D,None,None,None,None,None,None,None,110,40,5,40,35,25,10,20,Shove,Yes,Hero,2,2,0,1,1,0,0,2,1,+40,None,D,None,None,None,None,None
Carmela,Fighter ,https://cdn.discordapp.com/attachments/838081910612820068/1193357677053628436/image.png?ex=65ac6bf1&is=6599f6f1&hm=41d0f0fdbf97964edaa5fb7035b20d3feb5d24051cf098e2917d3dc02541a046&,1,23,14,0,3,2,8,0,5,8,5,None,None,E,None,None,None,None,None,70,25,5,40,10,27,5,40,"Wary Fighter, Shove",Yes,Warrior,4,1,0,4,0,0,0,2,1,None,None,+40,C,None,None,None,None
Alva,Wyvern Rider ,https://cdn.discordapp.com/attachments/782026954370056196/1193578636377329724/image.png?ex=65ad39ba&is=659ac4ba&hm=e7f31f0fe9e1003020ca4296115f3a132e9e5467f9271f4e3b7164ffb152a44f&,3,25,9,0,7,7,7,0,9,10,7,None,D,None,None,None,None,None,None,70,40,5,35,40,25,5,30,"Canto, Reposition",Yes,Wyvern Lord,2,2,0,1,1,1,0,0,1,None,+40,D,None,None,None,None,None
Sanzang,Mage,https://cdn.discordapp.com/attachments/782026954370056196/1193578927109718026/image.png?ex=65ad39ff&is=659ac4ff&hm=79dc6a8b6a251fb92c5f858f055cd6485b43ad489bd0774524fc4265917e8c04&,3,26,9,5,14,4,5,4,6,15,5,None,None,None,None,None,D,None,None,100,40,35,50,30,25,20,35,Shove,Yes,Mage Warrior,2,0,0,1,2,0,0,3,1,None,None,C,None,None,None,None,None
Coventry,Lord,https://cdn.discordapp.com/attachments/838081910612820068/1193574783544205392/image.png?ex=65ad3623&is=659ac123&hm=90d3e208602a6404b1818a1624f18ef95e47de47994b7a60012a966c517bc275&,1,24,6,0,8,7,7,0,12,9,6,E,E,E,E,None,None,None,None,60,30,5,25,25,15,5,30,"Paragon, Shove",No,,,,,,,,,,,,,,,,,,
Marzano,Armor Knight,https://cdn.discordapp.com/attachments/782026954370056196/1193583751196835972/image.png?ex=65ad3e7d&is=659ac97d&hm=b81d25b4f0ec58b58ac455c3e9c11fb266083bb42c672893e153fc2b0f64a0a1&,7,27,12,0,8,5,13,1,8,14,5,None,B,None,None,None,None,None,None,70,40,5,35,25,40,5,20,Shove,Yes,General,2,0,0,1,2,1,0,2,1,D,+40,D,None,None,None,None,None
Terry,Adventurer,https://cdn.discordapp.com/attachments/838081910612820068/1193575142689873920/image.png?ex=65ad3679&is=659ac179&hm=0f4f6dc4a32bbe58b3abb2e77e8d947ab539fd199c57fbcdb4f814572ebb69a6&,1,26,9,5,10,11,5,3,7,8,6,C,None,None,E,E,None,None,None,65,30,55,40,30,25,5,30,"Swordfaire,Shove",No,,,,,,,,,,,,,,,,,,
Laurencio,Social Knight,https://cdn.discordapp.com/attachments/782026954370056196/1193583520631754833/image.png?ex=65ad3e47&is=659ac947&hm=79fb68205e0d9606518028164b4197c042699c41e9931377cae4fefb9845b429&,6,26,9,0,9,7,9,0,6,12,7,None,E,D,None,None,None,None,None,90,40,50,40,30,35,5,5,"Canto, Swap",Yes,Great Knight,2,1,0,2,2,1,0,2,0,D,+40,+40,None,None,None,None,None
Yehoshua,Sage,https://cdn.discordapp.com/attachments/838081910612820068/1193575617766117417/image.png?ex=65ad36ea&is=659ac1ea&hm=9fb2d1f214831d9e8e038eda2762a6cb438e4316cf13f4e861dc00cf3f6a3cb3&,3,22,2,8,7,11,5,7,7,6,6,None,None,None,None,B,D,None,None,35,5,20,25,15,10,25,20,Shove,No,,,,,,,,,,,,,,,,,,
Jerez,Rogue,https://cdn.discordapp.com/attachments/782026954370056196/1193576740770029639/image.png?ex=65ad37f6&is=659ac2f6&hm=26d17f5b73711b66bfb89ec8238f4661d52139bf22d9469cefec1e7a92fa61a8&,1,28,5,3,12,18,3,2,15,8,6,E,None,None,None,None,None,None,None,70,30,5,50,60,15,15,40,"Supply, Locktouch, Steal+, Shove",No,,,,,,,,,,,,,,,,,,
Iblis,Bard,https://cdn.discordapp.com/attachments/782026954370056196/1193575860775694500/image.png?ex=65ad3724&is=659ac224&hm=3da96f0541d0d48c3125587d2832bd455c233fcd1f960c5a9efe6c2d42be3ef1&,2,22,1,7,5,15,4,12,6,6,6,None,None,None,None,None,None,None,None,50,0,10,50,50,25,30,40,"Charisma, Shove",No,,,,,,,,,,,,,,,,,,
Cynthia,Mage,https://cdn.discordapp.com/attachments/782026954370056196/1193584629198901338/image.png?ex=65ad3f4f&is=659aca4f&hm=056c6cba74c4b545780c071b07c276efe4cf07f7f75ab8eee86a0ecad5648958&,7,26,0,5,12,20,2,3,7,4,5,None,None,None,None,None,C,None,None,40,10,10,35,95,20,25,35,"Fortune, Misfortune, Shove",Yes,Sage,3,0,2,1,0,1,1,1,1,None,None,None,None,D,+40,None,None
Irene,Social Knight,https://cdn.discordapp.com/attachments/782026954370056196/1193585431820898375/image.png?ex=65ad400e&is=659acb0e&hm=d117038d36c4a0cb559c9fc1d2ecf570110e1452b6726e5298c830385fd4f67a&,8,26,10,0,10,12,7,0,5,8,7,D,D,None,None,None,None,None,None,70,30,5,30,35,25,5,30,"Canto, Swap",Yes,Paladin,3,2,0,1,1,0,0,0,1,+40,+40,None,None,None,None,None,None
Firenze,Bow Knight,https://cdn.discordapp.com/attachments/782026954370056196/1193584831217537096/image.png?ex=65ad3f7f&is=659aca7f&hm=2e101bb4eab2d3e9841e76898852a4d605ab757f7b38d233268dbd0e18baac72&,6,25,9,0,9,10,6,1,7,8,7,None,None,None,D,None,None,None,None,65,35,5,35,40,30,5,10,Canto+,Yes,Ranger,2,1,0,2,1,0,0,0,1,D,None,None,+40,None,None,None,None
Angelo,Warrior,https://cdn.discordapp.com/attachments/838081910612820068/1193539012573532363/image.png?ex=65ad14d3&is=659a9fd3&hm=3fe69f8e763a32fa3e3b7457f80710e9d25e024abd773fbaf7669d963d60c2fa&,3,34,17,0,8,9,8,1,7,15,6,None,None,C,A,None,None,None,None,60,50,5,20,15,25,5,40,Shove,No,,,,,,,,,,,,,,,,,,
Ms. Parsley,Troubadour,https://cdn.discordapp.com/attachments/782026954370056196/1193585774449401886/image.png?ex=65ad4060&is=659acb60&hm=c2c0c2cd498061c1e0ae467f2abb9bccfece2633ca0f3160910dd72ee9613a43&,6,24,1,6,5,6,3,5,6,5,6,None,None,None,None,D,None,None,None,65,10,80,50,70,30,35,40,Canto,Yes,Valkyrie,0,0,1,0,2,0,2,1,1,None,None,None,None,+40,D,None,None
Alyssa,Falcon Knight,https://cdn.discordapp.com/attachments/838081910612820068/1193548712279027722/image.png?ex=65ad1ddc&is=659aa8dc&hm=36225cf092bedb57d81c366a2e62b09f5730ffa9700507d2fe9399733faba657&,3,28,8,0,10,13,6,8,13,5,8,D,C,None,None,None,None,None,None,60,20,10,30,35,20,10,15,"Triangle Adept, Darting Blow, Canto, Reposition, ",No,,,,,,,,,,,,,,,,,,
Escarra,Swordmaster,https://cdn.discordapp.com/attachments/838081910612820068/1193548944635080724/image.png?ex=65ad1e13&is=659aa913&hm=19ed0d4f4868780572324646d3bd91b024024e89a24a3d1e4ed8ee0a6cd29632&,15,31,6,6,14,14,12,3,8,9,6,A,None,None,None,None,None,None,None,70,90,40,85,85,65,50,50,"Shove, Crit +15 ",No,,,,,,,,,,,,,,,,,,
Lafayette,Mage Knight,https://cdn.discordapp.com/attachments/838081910612820068/1193549330993401896/image.png?ex=65ad1e6f&is=659aa96f&hm=f92651d9f26e0a861cd736e18a6ed3d1f60b892b0ea1772f7768a48903987505&,9,28,6,8,10,13,9,15,7,8,7,B,None,None,None,None,B,None,None,70,40,10,45,45,25,25,40,Canto,No,,,,,,,,,,,,,,,,,,
