Name,HP,Str,Mag,Skl,Spd,Def,Res,Con,Mov,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Cap,Str Cap,Mag Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Weakness Types,Skills,Enemy Only?,Promotes,Promotion Class,HP Gains,Str Gains,Mag Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Staff Gains,Anima Gains,Light Gains,Dark Gains,Special,Recursive,B-Sides Class 1A,HP Gains,Str Gains,Mag Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,New Sword,New Lance,New Axe,New Bow,New Staff,New Anima,New Light,New Dark,Note
Burger Lord (Sword),21,8,1,8,5,8,1,12,5,E,None,None,None,None,None,None,None,60,25,10,23,20,25,20,20,"Armor, Human",Supply,No,Yes,Burger King (Sword),6,4,4,4,4,4,4,3,1,40,None,None,None,None,None,None,None,Yes,No,Burger Lord (Lance),0,0,0,0,0,0,0,-4,0,LOSE,D,None,None,None,None,None,None,
Burger Lord (Lance),18,6,1,6,7,6,0,8,5,None,D,None,None,None,None,None,None,60,20,20,20,20,20,20,20,None,Supply,No,Yes,Burger King (Lance),5,3,3,3,2,3,5,4,3,None,40,None,None,None,None,None,None,Yes,No,Burger Lord (Sword),0,0,0,0,0,0,0,4,0,E,LOSE,None,None,None,None,None,None,
Lance Cavalier (M),23,6,0,3,5,5,3,9,7,None,D,None,None,None,None,None,None,60,22,10,22,19,21,19,25,Cavalry,Canto,No,Yes,Paladin (M),6,4,3,5,4,4,5,2,1,D,None,None,None,None,None,None,None,No,No,Pirate,0,0,0,0,0,0,0,3,-2,None,LOSE,D,None,None,None,None,None,
Lance Cavalier (F),22,6,0,6,6,5,6,7,7,None,D,None,None,None,None,None,None,60,20,10,23,21,19,22,25,Cavalry,Canto,No,Yes,Paladin (F),6,5,4,4,3,4,4,2,1,None,None,None,D,None,None,None,None,No,No,Archer (F),0,0,0,0,0,0,0,-2,-2,None,LOSE,None,D,None,None,None,None,
Axe Armor,25,9,0,6,2,12,5,13,5,None,None,D,None,None,None,None,None,60,24,10,20,15,25,15,20,"Armor, Human",None,No,Yes,General,6,4,3,4,4,5,3,2,1,D,D+10,40,D,None,None,None,None,No,No,Myrmidon (Hero),0,0,0,0,0,0,0,-4,0,D,None,LOSE,None,None,None,None,None,
Lance Armor,24,8,0,6,2,10,4,13,5,None,D,None,None,None,None,None,None,60,23,10,19,15,24,18,20,"Armor, Human",None,No,Yes,General,6,4,3,4,4,5,3,2,1,D,10,C,D,None,None,None,None,No,No,Axe Cavalier (M),0,0,0,0,0,0,0,-3,2,None,LOSE,D,None,None,None,None,None,
Thief,16,3,1,1,9,2,0,6,6,E,None,None,None,None,None,None,None,60,16,10,30,30,15,15,20,Human,Steal,No,Yes,Rogue,3,3,4,5,4,3,4,1,1,70,None,None,None,None,None,None,None,No,No,Archer (M),0,0,0,0,0,0,0,1,-1,LOSE,None,None,D,None,None,None,None,
Mercenary (M),23,7,0,7,8,4,4,9,5,D,None,None,None,None,None,None,None,60,22,10,23,22,19,17,20,"Swordsman, Human",None,No,Yes,Hero (M),6,4,3,4,4,5,3,2,1,40,None,D,None,None,None,None,None,No,No,Wyvern Rider,0,0,0,0,0,0,0,1,2,LOSE,D,None,None,None,None,None,None,
Mercenary (F),22,6,0,8,9,3,5,8,5,D,None,None,None,None,None,None,None,60,21,15,24,23,18,18,20,"Swordsman, Human",None,No,Yes,Hero (F),5,4,2,5,4,3,4,2,1,40,None,D,None,None,None,None,None,No,No,Lance Cavalier (F),0,0,0,0,0,0,0,-1,2,LOSE,D,None,None,None,None,None,None,
Myrmidon (Swordmaster),20,6,1,9,10,2,3,8,5,D,None,None,None,None,None,None,None,60,19,15,24,25,16,18,20,"Swordsman, Human",None,No,Yes,Swordmaster,6,3,4,4,6,3,4,1,1,40,None,None,None,None,None,None,None,No,No,Lance Armor,0,0,0,0,0,0,0,5,0,LOSE,D,None,None,None,None,None,None,
Myrmidon (Hero),20,5,1,11,12,2,3,9,5,D,None,None,None,None,None,None,None,60,20,15,24,24,17,18,20,"Swordsman, Human",None,No,Yes,Hero (M),6,4,3,4,4,5,3,2,1,40,None,D,None,None,None,None,None,No,No,Sword Cavalier,0,0,0,0,0,0,0,-1,2,KEPT,None,None,None,None,None,None,None,
Archer (M),24,7,0,8,7,4,5,7,5,None,None,None,D,None,None,None,None,60,21,10,24,22,18,16,20,Human,None,No,Yes,Sniper (M),5,4,3,6,4,5,4,1,1,None,None,None,40,None,None,None,None,No,No,Fighter,0,0,0,0,0,0,0,4,0,None,None,D,LOSE,None,None,None,None,
Archer (F),22,6,0,9,8,4,6,5,5,None,None,None,D,None,None,None,None,60,20,15,24,24,17,18,20,Human,None,No,Yes,Sniper (F),6,4,2,5,4,4,5,1,1,None,None,None,40,None,None,None,None,No,No,Pegasus Knight,0,0,0,0,0,0,0,0,2,None,D,None,LOSE,None,None,None,None,
Wyvern Rider,26,9,0,5,6,6,2,10,7,None,D,None,None,None,None,None,None,60,23,10,19,18,22,15,25,"Dragon, Flying, Human",Canto,No,Yes,Wyvern Lord,5,4,2,4,3,4,3,1,1,None,40,D,None,None,None,None,None,No,No,Myrmidon (Swordmaster),0,0,0,0,0,0,0,-2,-2,D,LOSE,None,None,None,None,None,None,
