Name,Class,Portrait,Affinity,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Move,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Hp Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,Promotes,Promotion Class,HP Gains,Atk Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Staff Gains,Anima Gains,Light Gains,Dark Gains,Promotes 2,Promotion Class 2,HP Gains 2,Atk Gains 2,Skl Gains 2,Spd Gains 2,Def Gains 2,Res Gains 2,Con Gains 2,Mov Gains 2,Sword Gains 2,Lance Gains 2,Axe Gains 2,Bow Gains 2,Staff Gains 2,Anima Gains 2,Light Gains 2,Dark Gains 2,Promotes 3,Promotion Class 3,HP Gains 3,Atk Gains 3,Skl Gains 3,Spd Gains 3,Def Gains 3,Res Gains 3,Con Gains 3,Mov Gains 3,Sword Gains 3,Lance Gains 3,Axe Gains 3,Bow Gains 3,Staff Gains 3,Anima Gains 3,Light Gains 3,Dark Gains 3
Kuijia,Lord,0x02,Dark,1,25,8,5,5,10,4,9,8,5,None,None,None,None,D,None,None,D,80,35,25,25,40,20,45,Yes,Baron,5,3,2,2,2,2,2,0,None,None,None,None,40,D,D,40,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Shale,Warrior,0x04,Ice,1,35,15,11,8,7,5,7,16,6,None,None,C,A,None,None,None,None,90,35,25,15,15,10,25,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Fernandez,Knight,0x05,Light,3,27,10,8,5,11,0,5,15,5,None,D,None,None,None,None,None,None,95,35,35,35,55,15,35,Yes,General,4,2,2,3,2,3,2,0,E,40,E,None,None,None,None,None,Yes,Great Knight,3,2,1,2,2,1,0,1,E,None,D,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Floor,Archer,0x06,Fire,1,21,6,8,9,2,1,8,5,5,None,None,None,E,None,None,None,None,80,40,55,50,25,20,40,Yes,Sniper,4,3,1,1,2,2,1,1,None,None,None,40,None,None,None,None,Yes,Ranger,2,2,2,1,3,3,3,2,D,None,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Youngblood,Fighter,0x07,Thunder,1,27,9,5,6,5,2,5,14,5,None,None,D,None,None,None,None,None,95,55,35,35,25,20,25,Yes,Hero,4,1,2,2,2,2,0,1,C,None,None,None,None,None,None,None,Yes,Warrior,3,1,2,0,3,3,2,1,None,None,40,E,None,None,None,None,No,,,,,,,,,,,,,,,,,
Sjoerd,Fighter,0x08,Wind,1,26,7,8,8,4,1,5,13,5,None,None,E,None,None,None,None,None,90,40,45,45,20,15,35,Yes,Hero,4,1,2,2,2,2,0,1,C,None,None,None,None,None,None,None,Yes,Warrior,3,1,2,0,3,3,2,1,None,None,40,E,None,None,None,None,No,,,,,,,,,,,,,,,,,
Noki,Pegasus Knight,0x09,Thunder,1,22,5,8,10,3,7,11,6,7,None,E,None,None,None,None,None,None,65,35,45,55,15,35,50,Yes,Falcoknight,5,2,0,2,2,2,1,1,E,40,None,None,None,None,None,None,Yes,Wyvern Knight,3,2,1,2,1,1,4,1,30,None,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Daisy,Recruit,0x0A,Fire,1,16,4,2,3,0,3,4,6,5,None,E,None,None,None,None,None,None,75,45,60,45,30,20,55,Yes,Knight,2,1,1,1,2,0,4,0,None,30,None,None,None,None,None,None,Yes,Cavalier,1,0,2,2,0,2,3,2,E,30,None,None,None,None,None,None,Yes,Recruit,2,1,1,1,2,1,0,0,None,30,None,None,None,None,None,None
Kilian,Swordmaster,0x0C,Dark,1,27,5,11,16,2,5,8,7,6,A,None,None,None,None,None,None,None,80,15,30,30,20,40,50,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Philip,Pirate,0x0E,Fire,3,30,8,8,10,3,1,8,10,5,None,None,D,None,None,None,None,None,80,30,40,60,25,15,40,Yes,Berserker,4,1,1,1,2,2,3,1,None,None,40,None,None,None,None,None,Yes,Warrior,3,1,2,0,3,3,2,1,None,None,40,E,None,None,None,None,No,,,,,,,,,,,,,,,,,
William,Thief,0x0F,Ice,3,25,5,8,11,8,2,7,20,6,C,None,None,None,None,None,None,None,100,40,30,20,50,25,45,Yes,Rogue,2,1,1,0,2,2,1,0,None,None,None,None,None,None,None,None,Yes,Assassin,3,1,0,0,2,2,2,0,30,None,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Ikechukwu,Priest,0x10,Ice,5,26,4,4,7,7,6,6,9,5,None,None,None,None,D,None,None,None,80,30,30,45,30,30,30,Yes,Bishop,3,2,1,0,3,2,2,1,None,None,None,None,40,None,D,None,Yes,Sage,4,1,0,0,3,3,2,1,None,None,None,None,None,C,D,None,No,,,,,,,,,,,,,,,,,
Sovnya,Soldier,0x33,Thunder,6,24,8,12,7,4,3,5,9,5,None,C,None,None,None,None,None,None,75,40,65,40,25,20,30,Yes,General,4,2,2,3,2,3,2,0,E,70,E,None,None,None,None,None,Yes,Halberdier,4,2,2,2,2,2,2,1,None,70,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Mac,Monk,0x13,Fire,5,25,10,8,7,5,9,6,8,5,None,None,None,None,None,None,D+20,None,70,55,40,35,15,50,20,Yes,Bishop,3,2,1,0,3,2,2,1,None,None,None,None,C,None,30,None,Yes,Sage,4,1,0,0,3,3,2,1,None,None,None,None,D,C,None,None,No,,,,,,,,,,,,,,,,,
Hazel,Monk,0x14,Fire,5,24,6,8,11,3,7,9,6,5,None,None,None,None,None,None,D+20,None,60,35,45,60,10,40,35,Yes,Bishop,3,2,1,0,3,2,2,1,None,None,None,None,C,None,30,None,Yes,Sage,4,1,0,0,3,3,2,1,None,None,None,None,D,C,None,None,No,,,,,,,,,,,,,,,,,
Alair,Mage,0x16,Dark,4,20,7,6,9,2,7,9,5,5,None,None,None,None,None,D,None,None,50,50,40,50,20,50,60,Yes,Sage,3,1,1,0,3,3,1,1,None,None,None,None,D,40,D,None,Yes,Mage Knight,3,2,1,0,2,2,3,2,None,None,None,None,D,40,None,None,No,,,,,,,,,,,,,,,,,
Itoro,Cavalier,0x18,Fire,6,28,11,7,9,5,1,5,11,7,C,D+20,None,None,None,None,None,None,80,60,40,45,20,8,5,Yes,Paladin,2,1,1,1,2,1,2,1,30,None,None,None,None,None,None,None,Yes,Great Knight,3,2,1,2,2,1,4,-1,None,None,D,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Drouin,Thief,0x19,Ice,1,25,5,5,15,2,5,11,7,6,C,None,None,None,None,None,None,None,70,25,45,70,20,30,60,Yes,Rogue,2,1,1,0,2,2,1,0,None,None,None,None,None,None,None,None,Yes,Assassin,3,1,0,0,2,2,2,0,30,None,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
D. Sunwing,Wyvern Lord,0x1A,Thunder,1,34,15,10,9,13,3,2,11,8,B,E,None,None,None,None,None,None,55,45,25,15,20,5,15,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Taika,Shaman,0x1B,Ice,8,26,9,11,8,6,11,11,6,5,None,None,None,None,None,None,None,C,55,30,45,40,20,50,60,Yes,Druid,4,0,0,3,2,2,1,1,None,None,None,None,E,D,None,40,Yes,Summoner,3,0,1,3,1,3,1,1,None,None,None,None,E,None,None,40,No,,,,,,,,,,,,,,,,,
Abdul,Pupil,0x1C,Anima,3,25,2,9,12,8,1,5,10,5,None,None,None,None,None,E,None,None,75,35,10,35,25,30,40,Yes,Mage,1,0,1,2,1,2,1,0,None,None,None,None,None,30,None,None,Yes,Shaman,1,2,0,1,1,2,2,0,None,None,None,None,None,None,None,D,Yes,Pupil,2,1,1,0,2,2,0,0,None,None,None,None,None,30,None,None
Lily,Pegasus Knight,0x1E,Light,5,25,8,8,14,6,13,9,7,7,None,C,None,None,None,None,None,None,75,30,55,60,15,50,35,Yes,Falcoknight,5,2,0,2,2,2,1,1,E,40,None,None,None,None,None,None,Yes,Wyvern Knight,3,2,1,2,1,1,4,1,30,None,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Vivek,Sage,0x20,Wind,19,30,20,10,5,5,5,5,8,6,None,None,None,None,C+25,S,D,None,5,5,5,5,5,5,5,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Uyama,Myrmidon,0x21,Light,8,22,7,12,16,6,5,5,5,5,C,None,None,None,None,None,None,None,45,35,35,55,10,25,45,Yes,Swordmaster,4,2,1,0,2,1,2,1,40,None,None,None,None,None,None,None,Yes,Assassin,2,1,1,1,2,1,1,1,None,None,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Ansha,Assassin,0x22,Light,5,29,16,13,12,5,16,9,6,6,A,None,None,None,None,None,None,None,70,50,45,35,15,25,35,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Gu,Bonewalker,0x23,Anima,10,36,13,8,8,14,2,7,12,5,None,None,None,B,None,None,None,None,95,45,30,20,40,15,35,Yes,Wight,3,2,2,1,1,1,2,1,None,None,None,110,None,None,None,None,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Venus,Troubadour,0x24,Wind,5,27,9,10,12,8,11,14,5,6,None,None,None,None,C,None,None,None,75,45,55,50,30,30,55,Yes,Valkyrie,3,2,1,0,2,3,1,1,None,None,None,None,None,None,D,None,Yes,Mage Knight,3,2,1,0,2,2,1,1,None,None,None,None,None,C,None,None,No,,,,,,,,,,,,,,,,,
Soma,General,0x25,Fire,8,40,17,22,6,15,14,8,17,5,B,D,A,None,None,None,None,None,80,25,70,10,25,20,30,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Adine,Mercenary,0x26,Anima,13,35,14,13,11,7,3,9,13,5,B,None,None,None,None,None,None,None,90,50,45,35,25,15,35,Yes,Hero,4,1,2,2,2,2,1,1,40,None,D,None,None,None,None,None,Yes,Ranger,2,2,2,1,3,3,0,2,None,None,None,D,None,None,None,None,No,,,,,,,,,,,,,,,,,
Burdock,Knight,0x29,Dark,14,39,17,9,8,15,3,2,16,5,None,B,None,None,None,None,None,None,95,55,25,20,45,20,15,Yes,General,4,2,2,3,2,3,2,0,E,70,E,None,None,None,None,None,Yes,Halberdier,4,2,2,2,2,2,2,1,None,70,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Josie,Wyvern Rider,0x2A,Light,3,23,6,8,8,6,2,12,7,7,None,D,None,None,None,None,None,None,100,60,65,85,70,20,80,Yes,Wyvern Lord,4,2,2,0,2,0,1,1,D,40,None,None,None,None,None,None,Yes,Wyvern Knight,3,2,1,2,1,1,0,1,None,40,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Frances,Valkyrie,0x2B,Ice,10,18,10,18,12,3,16,5,8,7,None,None,None,None,B,None,S,None,30,95,30,20,15,40,5,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Poincare,Sniper,0x2C,Light,5,28,9,16,16,7,7,11,8,6,None,None,None,A,None,None,None,None,50,25,40,60,10,20,60,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Expirus,Druid,0x46,Dark,15,40,20,12,12,14,10,10,12,6,None,None,None,None,C,C,None,S,80,40,20,10,40,20,30,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Maluj,Archer,C,Wind,1,21,8,10,10,5,8,12,7,5,None,None,None,E,None,None,None,None,50,50,70,70,20,50,50,Yes,Sniper,3,1,2,2,2,3,1,1,None,None,None,40,None,None,None,None,Yes,Ranger,3,2,1,1,3,3,2,1,D,None,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Weber,Mage Knight,0x4B,Ice,12,43,10,10,12,14,17,10,13,7,None,None,None,None,A,C,None,None,75,20,25,15,40,55,35,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
"""Brioche""",Rogue,0x3F,Anima,4,28,10,13,18,7,14,10,8,6,C,None,None,None,None,None,None,None,55,35,45,50,15,35,45,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Bar'del,Berserker,0x49,Fire,16,52,23,11,14,9,9,18,17,6,None,None,S,None,None,None,None,None,210,120,5,10,5,0,5,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Seer,Manakete,0x48,Dark,1,14,5,2,4,8,8,10,5,6,None,None,None,None,None,None,None,None,150,80,50,35,105,200,15,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
The Kamuth,General,0xAF,Ice,16,30,15,10,5,15,5,5,21,5,A,A,A,None,None,None,None,None,0,0,0,0,0,0,155,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Rienmire,Sniper,0xB0,Wind,16,31,10,25,18,3,8,25,7,6,None,None,None,S,None,None,None,None,75,85,90,90,65,65,95,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Kalach,Halberdier,0x4E,Thunder,10,60,30,45,45,30,20,20,13,6,None,S,None,None,None,None,None,None,60,30,45,45,30,20,20,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Millisent,Halberdier,0x44,Fire,13,36,14,30,14,17,12,14,12,6,None,S,None,None,None,None,None,None,60,30,200,30,65,35,60,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Finwald,Great Knight,0x36,Fire,18,56,24,20,20,23,15,12,13,6,S,S,S,None,None,None,None,None,100,50,25,25,50,25,30,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
