Name,Partner 1,Partner 2,Partner 3,Partner 4,Partner 5,Partner 6,Partner 7,Starting Value 1,Starting Value 2,Starting Value 3,Starting Value 4,Starting Value 5,Starting Value 6,Starting Value 7,Growth 1,Growth 2,Growth 3,Growth 4,Growth 5,Growth 6,Growth 7
Orion,Ronaldo<:AffinDark:1083548169901707285>,Chandra<:AffinDark:1083548169901707285>,Mide<:AffinThunder:1083548174637084703>,Ardoome<:AffinWind:1083548175928926208>,Arjun<:AffinFire:1083548172254720080>,M!Tactician<:AffinAnima:1083548168672792697>,F!Tactician<:AffinAnima:1083548168672792697>,20,40,0,40,0,10,10,3,2,3,4,5,2,2
M!Tactician,Orion<:AffinAnima:1083548168672792697>,Wren<:AffinFire:1083548172254720080>,Francine<:AffinIce:1083548173190045817>,Freesia<:AffinIce:1083548173190045817>,Kiri<:AffinAnima:1083548168672792697>,Jenna<:AffinThunder:1083548174637084703>,Durga<:AffinThunder:1083548174637084703>,10,60,0,0,13,13,0,2,2,2,2,3,3,5
F!Tactician,Orion<:AffinAnima:1083548168672792697>,Wren<:AffinFire:1083548172254720080>,Horton<:AffinLight:1083548171281641583>,Vito<:AffinFire:1083548172254720080>,Whitney<:AffinLight:1083548171281641583>,Jenna<:AffinThunder:1083548174637084703>,Arjun<:AffinFire:1083548172254720080>,10,60,15,0,45,13,0,2,2,2,2,2,3,5
Francine,Ronaldo<:AffinDark:1083548169901707285>,Arthur<:AffinLight:1083548171281641583>,Fiana<:AffinThunder:1083548174637084703>,Yet<:AffinDark:1083548169901707285>,Suzhen<:AffinThunder:1083548174637084703>,M!Tactician<:AffinAnima:1083548168672792697>,Raimon<:AffinDark:1083548169901707285>,0,0,0,10,50,0,0,1,2,2,3,2,2,2
Shermie,Sherie<:AffinDark:1083548169901707285>,Hyle<:AffinThunder:1083548174637084703>,Aislin<:AffinAnima:1083548168672792697>,Agrippa<:AffinAnima:1083548168672792697>,Durga<:AffinThunder:1083548174637084703>,0,0,0,0,15,54,0,0,0,6,2,3,2,6,0,0
Emma,Eli<:AffinWind:1083548175928926208>,Ashley<:AffinWind:1083548175928926208>,Arthur<:AffinLight:1083548171281641583>,Raimon<:AffinDark:1083548169901707285>,Niya<:AffinIce:1083548173190045817>,Darius<:AffinWind:1083548175928926208>,Ardoome<:AffinWind:1083548175928926208>,40,40,0,0,20,25,0,2,2,2,2,2,2,5
Eli,Emma<:AffinWind:1083548175928926208>,Ronaldo<:AffinDark:1083548169901707285>,Fang<:AffinAnima:1083548168672792697>,Blair<:AffinIce:1083548173190045817>,Ardoome<:AffinWind:1083548175928926208>,0,0,40,20,0,0,0,0,0,2,2,3,2,7,0,0
Arthur,Ronaldo<:AffinDark:1083548169901707285>,Emma<:AffinWind:1083548175928926208>,James<:AffinAnima:1083548168672792697>,Shanks<:AffinWind:1083548175928926208>,Alva<:AffinLight:1083548171281641583>,Francine<:AffinIce:1083548173190045817>,0,0,0,55,0,0,0,0,2,2,2,4,3,2,0
Blair,Wren<:AffinFire:1083548172254720080>,Ardoome<:AffinWind:1083548175928926208>,Eli<:AffinWind:1083548175928926208>,Niya<:AffinIce:1083548173190045817>,Ashley<:AffinWind:1083548175928926208>,Raimon<:AffinDark:1083548169901707285>,0,0,73,0,0,20,55,0,2,5,2,4,2,2,0
Hyle,Chandra<:AffinDark:1083548169901707285>,Shermie<:AffinFire:1083548172254720080>,Sherie<:AffinDark:1083548169901707285>,Vito<:AffinFire:1083548172254720080>,Dorothy<:AffinLight:1083548171281641583>,0,0,40,0,40,0,0,0,0,3,2,2,2,3,0,0
