Name,Class,Affinity,Portrait,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Move,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,Promotion Class,HP Gains,Atk Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Staff Gains,Anima Gains,Light Gains,Dark Gains
Orion,Lord,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1081990677140869281/1115805494473408562/1Orion.png,1,24,7,4,6,6,0,5,13,5,D,None,None,None,None,None,None,None,80,60,35,55,40,10,50,Great Lord,3,0,4,0,2,5,2,1,+71,None,None,C,None,None,None,None
Tactician,Lord,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1081990677140869281/1115805494762799115/2Tactician.png,1,18,4,7,5,2,4,7,7,5,None,None,None,None,None,D,None,D,65,50,50,40,20,40,55,Prime Lord,2,3,0,3,3,1,2,1,None,None,None,None,E,+40,None,+71
Francine,Paladin,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805495295492156/3Francine.png,1,32,13,15,8,13,3,6,11,8,D,D,B,None,None,None,None,None,80,65,40,70,35,35,50,,,,,,,,,,None,None,None,None,None,None,None,None
Shermie,Mercenary,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805495530356796/4Shermie.png,1,20,7,8,9,5,0,4,9,5,E,None,None,None,None,None,None,None,80,45,45,50,40,10,50,Hero,4,2,0,2,3,1,1,1,+40,None,E,None,None,None,None,None
Emma,Cavalier,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805495828164658/5Emma.png,1,18,5,5,7,5,0,7,9,7,D,D,None,None,None,None,None,None,65,45,50,40,30,30,40,Paladin,2,1,1,1,2,1,2,1,None,+30,E,None,None,None,None,None
Eli,Archer,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805496075632761/6Eli.png,1,18,6,7,6,3,2,4,7,5,None,None,None,D,None,None,None,None,60,50,55,45,30,25,40,Sniper,3,1,2,2,2,3,1,1,None,None,None,+40,None,None,None,None
Arthur,Cleric,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805496952238150/7Arthur.png,1,20,4,6,9,5,4,3,8,5,None,None,None,None,D,None,None,None,80,50,40,20,40,30,20,Bishop,3,2,1,0,3,2,1,1,None,None,None,None,+40,None,D,None
Blair,Knight,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805497199706223/8Blair.png,4,27,9,5,4,12,0,3,13,4,None,D,E,None,None,None,None,None,75,55,60,20,60,20,20,General,4,2,2,3,2,3,2,1,D,+30,+30,D,None,None,None,None
Hyle,Fighter,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805542766628934/9Hyle.png,4,29,7,6,5,7,0,5,15,5,None,None,D,None,None,None,None,None,70,75,50,40,50,5,20,Warrior,3,1,2,0,3,3,2,1,None,None,+40,E,None,None,None,None
Ronaldo,Thief,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805543764852807/10Ronaldo.png,5,19,6,13,12,4,3,6,6,6,C,None,None,None,None,None,None,None,40,20,60,60,20,10,45,Assassin,3,1,0,0,2,2,0,0,None,None,None,None,None,None,None,None
Aislin,Mage,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1081990677140869281/1115805543991365662/11Aislin.png,4,18,6,7,8,2,5,4,5,5,None,None,None,None,None,D,None,None,60,45,60,50,20,40,30,Sage,3,1,1,0,3,3,1,1,None,None,None,None,E,+40,None,None
Fiana,Pegasus Knight,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805544263987260/12Fiana.png,4,21,6,8,13,4,5,6,5,7,None,D,None,None,None,None,None,None,50,40,60,60,15,30,45,Falcoknight,5,2,0,0,2,2,1,1,E,+40,None,None,None,None,None,None
Horton,Myrmidon,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805544532410470/13Horton.png,4,25,6,10,11,6,0,8,9,5,D,None,None,None,None,None,None,None,70,50,50,55,30,10,45,Swordmaster,5,2,0,0,2,1,1,1,+40,None,None,None,None,None,None,None
Yet,Troubadour,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1081990677140869281/1115805544809246791/14Yet.png,1,17,4,5,9,3,5,6,5,7,None,None,None,None,D,None,None,None,45,30,40,80,15,20,55,Valkyrie,3,2,1,0,2,3,1,1,None,None,None,None,+40,E,None,None
