Name,Affinity,Partner 1,Affinity 1,Base 1,Growth 1,Paired 1,Partner 2,Affinity 2,Base 2,Growth 2,Paired 2,Partner 3,Affinity 3,Base 3,Growth 3,Paired 3,Partner 4,Affinity 4,Base 4,Growth 4,Paired 4
"Rena","Anima","Garath","Dark",15,5,"","Kolbane","Wind",5,3,"","Adalheid","Fire",0,32,"","Amaryl","Dark",0,32,""
"Garath","Dark","Rena","Anima",15,5,"","Kolbane","Wind",15,5,"","","","","","","","","","",""
"Kolbane","Wind","Rena","Anima",5,3,"","Garath","Dark",15,5,"","Jauger","Thunder",30,6,"","Thyra","Thunder",50,5,"True"
"Asher","Thunder","Gabriel","Ice",15,4,"","Dismas","Thunder",65,6,"","Chester","Fire",5,4,"","","","","",""
"Cyrille","Dark","Chester","Fire",45,5,"","Gabriel","Ice",15,4,"","Alexis","Anima",45,5,"","Florent","Ice",5,6,""
"Eilene","Light","Amelia","Wind",30,4,"","Ioan","Anima",15,4,"","Sheila","Fire",80,7,"","","","","",""
"Amelia","Wind","Eilene","Light",30,4,"","Artemisia","Dark",15,8,"","Rozelle","Light",15,5,"","","","","",""
"Tricia","Anima","Brill","Dark",15,7,"","Eudira","Wind",15,5,"","Dismas","Thunder",60,6,"","","","","",""
"Chester","Fire","Crowe","Wind",30,3,"","Conleth","Fire",25,4,"True","Asher","Thunder",5,4,"","Cyrille","Dark",45,5,""
"Cathale","Thunder","Cothiva","Thunder",10,5,"True","Florent","Ice",10,5,"","Sileth","Ice",15,6,"","","","","",""
"Crowe","Wind","Chester","Fire",30,3,"","Driscoll","Wind",20,4,"","Dismas","Thunder",45,4,"","","","","",""
"Lizaveta","Light","Arcus","Dark",0,7,"","Ioan","Anima",5,4,"","Bellona","Fire",15,6,"True","Driscoll","Wind",30,4,""
"Driscoll","Wind","Crowe","Wind",20,4,"","Odette","Ice",15,6,"","Conleth","Fire",15,3,"","Lizaveta","Light",30,4,""
"Cothiva","Thunder","Amaryl","Dark",65,9,"","Cathale","Thunder",10,5,"True","Marin","Fire",15,5,"","","","","",""
"Gabriel","Ice","Asher","Thunder",15,4,"","Wren","Dark",15,3,"True","Eudira","Wind",15,7,"","Cyrille","Dark",15,4,""
"Ioan","Anima","Eilene","Light",15,4,"","Seren","Wind",10,5,"","Lizaveta","Light",5,4,"","","","","",""
"Marie","Anima","Blixa","Ice",30,4,"","Amaryl","Dark",30,15,"","Severin","Ice",15,6,"","","","","",""
"Arcus","Dark","Jolyon","Fire",45,5,"","se'Mori","Light",30,5,"","Lizaveta","Light",0,7,"","Stolypin","Light",30,7,""
"Jolyon","Fire","Arcus","Dark",45,5,"","Marin","Fire",30,8,"","Florent","Ice",30,8,"","Meliza","Light",15,9,"True"
"Florent","Ice","Jolyon","Fire",30,8,"","Marin","Fire",30,7,"","Cathale","Thunder",10,5,"","Cyrille","Dark",5,6,""
"Marin","Fire","Jolyon","Fire",30,8,"","Florent","Ice",30,7,"","Cothiva","Thunder",15,5,"","","","","",""
"Alexis","Anima","Leda","Anima",15,6,"","Amaryl","Dark",30,8,"","Stolypin","Light",15,6,"True","Cyrille","Dark",45,5,""
"Seren","Wind","Franseza","Dark",241,0,"True","Ioan","Anima",10,5,"","Corbeau","Light",15,6,"","","","","",""
"Franseza","Dark","Seren","Wind",241,0,"True","Artemisia","Dark",45,6,"","Eudira","Wind",35,6,"","","","","",""
"se'Mori","Light","Sileth","Ice",30,5,"","Arcus","Dark",30,5,"","vi'Shen","Dark",15,4,"","","","","",""
"Sileth","Ice","se'Mori","Light",30,5,"","Brill","Dark",15,5,"","Cathale","Thunder",15,6,"","Nari","Anima",15,3,"True"
"Conleth","Fire","Chester","Fire",25,4,"True","Driscoll","Wind",15,3,"","Lyndra","Wind",15,5,"","Adalheid","Fire",0,30,""
"Lyndra","Wind","Adalheid","Fire",75,30,"True","Saskia","Wind",15,12,"","Morwen","Thunder",161,4,"","Conleth","Fire",15,5,""
"Blixa","Ice","Corbeau","Light",15,5,"","Rozelle","Light",20,3,"True","Marie","Anima",30,4,"","","","","",""
"Kahn","Thunder","Wren","Dark",45,5,"","Bellona","Fire",10,3,"","Leda","Anima",10,3,"","","","","",""
"Wren","Dark","Kahn","Thunder",45,5,"","Gabriel","Ice",15,3,"True","Stolypin","Light",15,4,"","","","","",""
"Bellona","Fire","Kahn","Thunder",10,3,"","Lizaveta","Light",15,6,"True","Claudiya","Fire",60,20,"","","","","",""
"Corbeau","Light","Blixa","Ice",15,5,"","Seren","Wind",15,6,"","","","","","","","","","",""
"Leda","Anima","Baldur","Thunder",10,5,"True","Kahn","Thunder",10,3,"","Alexis","Anima",15,6,"","","","","",""
"Nari","Anima","Baldur","Thunder",30,3,"","byor'Dal","Ice",15,3,"","Sileth","Ice",15,3,"True","","","","",""
"Baldur","Thunder","Leda","Anima",10,5,"True","Nari","Anima",30,3,"","Nikita","Fire",0,6,"","","","","",""
"Nikita","Fire","Brill","Dark",30,6,"True","vi'Shen","Dark",15,6,"","Baldur","Thunder",0,6,"","","","","",""
"Annelise","Anima","Rozelle","Light",30,4,"","Thyra","Thunder",35,10,"","Volund","Dark",75,5,"True","","","","",""
"Rozelle","Light","Annelise","Anima",30,4,"","Amelia","Wind",15,5,"","Blixa","Ice",20,3,"True","","","","",""
"byor'Dal","Ice","Nari","Anima",15,3,"","Volund","Dark",15,7,"","Hereward","Anima",45,6,"True","","","","",""
"Meliza","Light","Jolyon","Fire",15,9,"True","Kai","Ice",60,20,"","Severin","Ice",30,8,"","","","","",""
"vi'Shen","Dark","Nikita","Fire",15,6,"","se'Mori","Light",15,4,"","Thyra","Thunder",15,6,"","","","","",""
"Brill","Dark","Nikita","Fire",30,6,"True","Sileth","Ice",15,5,"","Tricia","Anima",15,7,"","","","","",""
"Eudira","Wind","Gabriel","Ice",15,7,"","Franseza","Dark",35,6,"","Tricia","Anima",15,5,"","","","","",""
"Severin","Ice","Marie","Anima",15,6,"","Meliza","Light",30,8,"","Morwen","Thunder",30,8,"True","","","","",""
"Stolypin","Light","Alexis","Anima",15,6,"True","Wren","Dark",15,4,"","Arcus","Dark",30,7,"","Rotariu","Anima",200,15,""
"Jauger","Thunder","Hereward","Anima",50,9,"","Odette","Ice",50,9,"","Kolbane","Wind",30,6,"","","","","",""
"Saskia","Wind","Lyndra","Wind",15,12,"","Sheila","Fire",30,12,"","","","","","","","","","",""
"Hereward","Anima","Jauger","Thunder",50,9,"","Odette","Ice",40,5,"","Artemisia","Dark",60,12,"","byor'Dal","Ice",45,6,"True"
"Odette","Ice","Hereward","Anima",40,5,"","Jauger","Thunder",50,9,"","Driscoll","Wind",15,6,"","","","","",""
"Thyra","Thunder","Annelise","Anima",35,10,"","Volund","Dark",75,6,"","vi'Shen","Dark",15,6,"","Kolbane","Wind",50,5,"True"
"Morwen","Thunder","Lyndra","Wind",161,4,"","Severin","Ice",30,8,"True","","","","","","","","","",""
"Artemisia","Dark","Franseza","Dark",45,6,"","Hereward","Anima",60,12,"","Amelia","Wind",15,8,"","Sheila","Fire",40,10,""
"Sheila","Fire","Eilene","Light",80,7,"","Saskia","Wind",30,12,"","Artemisia","Dark",40,10,"","","","","",""
"Dismas","Thunder","Asher","Thunder",65,6,"","Crowe","Wind",45,4,"","Tricia","Anima",60,6,"","","","","",""
"Volund","Dark","Annelise","Anima",75,5,"True","Thyra","Thunder",75,6,"","byor'Dal","Ice",15,7,"","","","","",""
"Adalheid","Fire","Lyndra","Wind",75,30,"True","Rena","Anima",0,32,"","Conleth","Fire",0,30,"","","","","",""
"Amaryl","Dark","Cothiva","Thunder",65,9,"","Rena","Anima",0,32,"","Marie","Anima",30,15,"","Alexis","Anima",30,8,""
"Kai","Ice","Meliza","Light",60,20,"","","","","","","","","","","","","","","",""
"Claudiya","Fire","Bellona","Fire",60,20,"","","","","","","","","","","","","","","",""
"Rotariu","Anima","Stolypin","Light",200,15,"","","","","","","","","","","","","","","",""
"Rophon","Anima","","","","","","","","","","","","","","","","","","","",""
"Sorcha","Fire","","","","","","","","","","","","","","","","","","","",""
