Name,Class,Affinity,Portrait,Join Ch.,Lv,HP,Pow,Skl,Luck,Def,Res,Con,Mov,Spd,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Pow Growth,Skl Growth,Luck Growth,Def Growth,Res Growth,Spd Growth,Promotes,Promotion Class,HP Gains,Pow Gains,Skl Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Spd Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Staff Gains,Anima Gains,Light Gains,Dark Gains,Supports
Lass,Mercenary,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1161059985598447646/1161060023905030155/Lass.png?ex=6536ec69&is=65247769&hm=3695a0a5ee37acce22f317b2242bc25368612586f4e74b3e2fd62ae1290fecf7&,1,2,24,9,10,6,7,1,9,5,0,D,None,None,None,None,None,None,None,65,45,50,40,35,10,0,Yes,Bow Knight,3,2,2,1,2,1,3,0,0,None,None,E+10,None,None,None,None,C Simon
Kalores,Hvy. Paladin,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1161059985598447646/1161060015629680691/Kalores.png?ex=6536ec67&is=65247767&hm=bdcb16d9181a44b7cb5f5009fce21dee55ce13b751b63d69ead77011f7411c60&,1,1,29,12,14,6,11,7,13,8,0,None,E+15,B,None,None,None,None,None,30,20,55,20,15,10,0,Yes,Knight Lord,6,4,4,2,2,1,1,0,None,40,+110,None,None,None,None,None,None
Simon,Soldier,<:AffinAnima:1083548168672792697>,https://cdn.discordapp.com/attachments/1161059985598447646/1161060058390609930/Simon.png?ex=6536ec71&is=65247771&hm=4c3392f1421399157fe18e0bbee1fcbcfdac27d598335c9e51612ee05ecfeb79&,1,2,26,12,9,4,5,0,11,5,0,None,C,None,None,None,None,None,None,70,70,55,15,20,5,0,Yes,Halberdier,3,4,4,1,0,1,1,0,None,+50,None,None,None,None,None,None,C Lass
Tobias,Archer,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1161059985598447646/1161060073200697454/Tobias.png?ex=6536ec74&is=65247774&hm=ce9d351a0d7d2964e1597667ed9c43a9b6a26134ad81fe18f853849ab3f60733&,1,2,22,8,10,8,5,4,8,5,0,None,None,None,D+20,None,None,None,None,60,55,50,35,20,15,0,Yes,Adventurer,1,3,4,2,3,1,1,1,None,None,None,+40,D,None,None,None,C Verona
Puzon,Thief,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1161059985598447646/1161061303557820487/Puzon.png?ex=6536ed9a&is=6524789a&hm=8d20a46dd987272b2dd4cf4c8ec96890e76f28c59d2564311fd47f8751015c91&,2,1,18,7,8,9,4,6,6,6,0,D,None,None,None,None,None,None,None,65,30,35,50,10,45,0,Yes,Rogue,2,2,4,1,2,1,1,0,"+70",None,None,None,None,None,None,None,C Marion
Marion,Diviner,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1161059985598447646/1161060032931188836/Marion.png?ex=6536ec6b&is=6524776b&hm=7d68ae8ef66679f743391fb0828840f057f3b3b4a5425d42b869f2ce1e3fb47e&,2,4,23,10,5,6,2,8,6,5,0,None,None,None,None,None,None,D,None,50,45,30,50,15,45,0,Yes,Sage,3,4,1,2,2,2,1,0,None,None,None,None,None,D,+30,None,C Puzon
Andreas,Priest,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1161059985598447646/1161060000467271690/Andreas.png?ex=6536ec63&is=65247763&hm=3415c16cf0f69a8038abb82f633b43a79ddd0291646e1439b0bcf54c1194b7e1&,3,4,20,7,3,8,3,6,5,5,0,None,None,None,None,C,None,None,None,60,50,25,35,10,55,0,Yes,Bishop,3,2,1,3,2,2,1,0,None,None,None,None,+40,None,D,None,None
Verona,Cavalier,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1161059985598447646/1161060081908072529/Verona.png?ex=6536ec76&is=65247776&hm=017728ceba61beb4f555d0713dd1e893fbf8ebaf30649298a31b277cbe3f50f4&,3,3,25,8,8,9,7,2,9,7,0,E+15,D+20,None,None,None,None,None,None,70,40,40,30,30,25,0,Yes,Light Paladin,3,2,2,2,3,0,1,0,+30,0,None,None,None,None,None,None,C Tobias
Thoril,Shaman,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1161059985598447646/1161060065697087609/Thoril.png?ex=6536ec73&is=65247773&hm=ceff0682c77747d555158d9af9dca58f0369d70257e966cdea435a544938d47a&,4,4,23,9,9,7,4,6,8,5,0,None,None,None,None,None,None,None,C,55,45,65,40,20,10,0,Yes,Druid,4,2,3,2,1,1,1,0,None,None,None,None,D,None,None,+40,B Otto
Otto,Knight,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1161059985598447646/1161060044369039372/Otto.png?ex=6536ec6e&is=6524776e&hm=c7e4b6a74d54d46c0ce3b978e0116acfc1b7dec798569252a9278eea041e0ef6&,5,8,28,11,7,9,13,1,15,5,0,None,None,C,None,None,None,None,None,75,50,30,25,50,5,0,Yes,General,4,3,2,2,3,0,0,0,None,D,+40,None,None,None,None,None,B Thoril
