Name,Affinity,Partner 1,Base 1,Growth 1,Partner 2,Base 2,Growth 2,Partner 3,Base 3,Growth 3,Partner 4,Base 4,Growth 4,Partner 5,Base 5,Growth 5
Bradley,Fire,Shaun,72,4,Yufin,40,4,Ron,40,4,Emily,40,4,Gideon,40,4
Shaun,Wind,Bradley,72,4,Wilson,40,4,Candace,40,4,Cielo,40,4,Chase,40,4
Chase,Thunder,Lydia,72,4,Yufin,40,4,Shelby,40,4,Shaun,40,4,,,
Lydia,Light,Chase,72,4,Dorian,72,4,Locritus,72,4,Yufin,40,4,Shelby,40,4
Yufin,Fire,Chase,40,4,Bradley,40,4,Lydia,40,4,Shelby,40,4,Sarah,72,4
Shelby,Dark,Chase,40,4,Lydia,40,4,Yufin,40,4,Ron,40,4,,,
Max,Ice,Sally,79,4,Elias,79,4,Alicia,79,8,Marcie,40,4,Vin,20,4
Sally,Anima,Max,79,4,Elias,79,4,Alicia,79,4,Jeremy,72,4,,,
Marcie,Fire,Patty,79,4,Luceil,79,8,Max,40,4,Emily,40,4,,,
Dorian,Wind,Lydia,72,4,Locritus,72,4,Regis,79,4,,,,,,
Zoe,Wind,Vin,79,4,Terry,72,4,Ciny,72,4,Alicia,72,4,,,
Vin,Ice,Zoe,79,4,Max,20,4,,,,,,,,,
Cielo,Wind,Wilson,40,4,Shaun,40,4,Candace,40,4,,,,,,
Victor,Fire,Ron,72,4,Terry,79,4,Harriet,20,4,,,,,,
Ron,Light,Bradley,40,4,Victor,72,4,Jack,79,4,Shelby,40,4,,,
Locritus,Ice,Lydia,72,4,Dorian,72,4,Wilson,40,4,Jack,72,4,,,
Colt,Wind,Hoff,72,4,Cindy,72,4,Sarah,72,4,,,,,,
Hoff,Dark,Colt,72,4,Cindy,72,4,Jeremy,72,4,,,,,,
Cindy,Light,Zoe,72,4,Hoff,72,4,Colt,72,4,,,,,,
Regis,Light,Jeremy,72,4,Dorian,79,4,Terry,79,4,Harriet,79,4,,,
Wilson,Anima,Cielo,40,4,Jack,40,4,Shaun,40,4,Locritus,40,4,Terry,79,4
Terry,Thunder,Victor,79,4,Regis,79,4,Harriet,20,4,Zoe,72,4,Wilson,79,4
Harriet,Thunder,Victor,20,4,Terry,20,4,Candace,79,4,Patty,40,4,Regis,79,4
Patty,Anima,Marcie,79,4,Luceil,79,8,Harriet,40,4,Emily,40,4,,,
Candace,Dark,Shaun,40,4,Harriet,79,4,Cielo,40,4,4,,,,,
Jack,Anima,Locritus,72,4,Wilson,40,4,Ron,79,4,Nicole,79,4,,,
Jeremy,Ice,Regis,72,4,Sarah,79,8,Gideon,72,4,Sally,72,4,Hoff,72,4
Sarah,Fire,Jeremy,79,8,Nicole,79,4,Yufin,72,4,Elias,72,4,Colt,72,4
Alicia,Light,Max,79,8,Sally,79,4,Elias,79,4,Zoe,72,4,,,
Elias,Thunder,Max,79,4,Sally,79,4,Alicia,79,4,Sarah,72,4,,,
Nicole,Wind,Jack,79,4,Sarah,79,4,Luceil,79,4,,,,,,
Gideon,Ice,Jeremy,72,4,Bradley,40,4,,,,,,,,,
Luceil,Ice,Marcie,79,8,Patty,79,8,Nicole,79,4,Emily,79,4,,,
Emily,Fire,Luceil,79,4,Bradley,40,4,Marcie,40,4,Patty,40,4,,,

