Name,Class,Portrait,Affinity,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Move,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,Promotes,Promotion Class,HP Gains,Atk Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Staff Gains,Anima Gains,Light Gains,Dark Gains,Promotes 2,Promotion Class 2,HP Gains 2,Atk Gains 2,Skl Gains 2,Spd Gains 2,Def Gains 2,Res Gains 2,Con Gains 2,Mov Gains 2,Sword Gains 2,Lance Gains 2,Axe Gains 2,Bow Gains 2,Staff Gains 2,Anima Gains 2,Light Gains 2,Dark Gains 2
John,Mercenary,https://cdn.discordapp.com/attachments/1054174529007661146/1149205629093810226/image.png,<:AffinFire:1083548172254720080>,1,26,10,9,8,6,4,8,15,6,D,None,None,None,None,None,None,None,75,55,50,45,40,30,40,Yes,Hero,+5,+5,+5,+5,+5,+5,+2,+1,None,None,C,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Joe,Paladin,https://cdn.discordapp.com/attachments/1054174529007661146/1149205799814578287/image.png,<:AffinThunder:1083548174637084703>,1,35,12,14,9,15,10,9,10,9,A,A,None,None,None,None,None,None,75,40,60,35,40,40,45,No,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,
Ekram,Knight,https://cdn.discordapp.com/attachments/1054174529007661146/1149205911815061574/image.png,<:AffinAnima:1083548168672792697> ,10,34,16,12,2,16,4,4,14,6,None,B,None,None,None,None,None,None,100,50,40,10,65,40,20,Yes,Great Knight,+6,+6,+2,+1,+9,+1,0,+2,C,None,C,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Saif,Myrmidon,https://cdn.discordapp.com/attachments/1054174529007661146/1149206006899933216/image.png,<:AffinDark:1083548169901707285>,1,18,5,8,9,2,1,20,5,6,C,None,None,None,None,None,None,None,45,20,55,75,15,10,85,Yes,Swordmaster,+4,+4,+10,+10,+3,+3,+1,+1,+110,None,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Andrew,Fighter,https://cdn.discordapp.com/attachments/1054174529007661146/1149206525471117412/image.png,<:AffinFire:1083548172254720080>,2,38,10,3,0,9,0,0,17,6,None,None,E,None,None,None,None,None,145,85,35,25,60,1,50,Yes,Warrior,+9,+9,+4,+2,+7,+1,+1,+1,None,None,S,B,None,None,None,None,Yes,Hero,+5,+5,+5,+5,+5,+5,-1,+1,C,None,S,None,None,None,None,None
Joseph,Fighter,https://cdn.discordapp.com/attachments/1054174529007661146/1149206621956874310/image.png,<:AffinFire:1083548172254720080>,1,25,9,14,9,6,6,25,12,6,None,None,D,None,None,None,None,None,70,25,65,45,25,25,90,Yes,Warrior,+9,+9,+4,+2,+7,+1,+1,+1,None,None,S,B,None,None,None,None,Yes,Hero,+5,+5,+5,+5,+5,+5,-1,+1,C,None,S,None,None,None,None,None
Salman,Fleet,https://cdn.discordapp.com/attachments/1054174529007661146/1149206735060471879/image.png,<:AffinLight:1083548171281641583>,9,29,14,20,8,9,5,16,0,0,None,None,None,A,None,None,None,None,60,80,70,20,50,10,50,No,,,,,,,,,,,,,,,None,None,None,No,,,,,,,,,,,,,,,,,
Jojo,Archer,https://cdn.discordapp.com/attachments/1054174529007661146/1149206839502835762/image.png,<:AffinLight:1083548171281641583>,3,24,9,10,9,5,4,7,11,6,None,None,None,C,None,None,None,None,75,55,70,55,25,20,45,Yes,Sniper,+4,+9,+9,+9,+4,+2,+1,+1,None,None,None,+110,None,None,None,None,No,,,,,,,,,,,,,,,,,
Carol,Troubadour,https://cdn.discordapp.com/attachments/1054174529007661146/1149206392557813820/image.png,<:AffinAnima:1083548168672792697> ,5,27,7,10,10,2,8,13,9,7,None,None,None,None,B,None,None,None,45,40,50,40,15,40,65,Yes,Valkiyre,+5,+9,+9,+6,+1,+6,+2,+1,None,None,None,None,S,None,None,None,No,,,,,,,,,,,,,,,,,
Carl,Cavalier,https://cdn.discordapp.com/attachments/1054174529007661146/1149207083384852570/image.png,<:AffinWind:1083548175928926208>,6,30,12,12,10,10,2,8,13,7,B,B,None,None,None,None,None,None,65,45,80,45,35,35,45,Yes,Paladin,+4,+3,+3,+3,+1,+4,+2,+2,None,None,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Layan,Cavalier,https://cdn.discordapp.com/attachments/1054174529007661146/1149206935313334304/image.png,<:AffinIce:1083548173190045817>,3,22,7,9,13,4,11,14,7,7,D,C,None,None,None,None,None,None,50,35,60,110,30,90,100,Yes,Paladin,+8,+6,+6,+6,+3,+3,0,+2,S,None,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
Raina,Cavalier,https://cdn.discordapp.com/attachments/1054174529007661146/1149207018196967464/image.png,<:AffinIce:1083548173190045817>,3,26,13,9,7,11,4,2,11,7,C,D,None,None,None,None,None,None,90,110,60,35,90,30,40,Yes,Paladin,+8,+6,+6,+6,+3,+3,0,+2,None,S,None,None,None,None,None,None,No,,,,,,,,,,,,,,,,,
