Name,Class,Affinity,Portrait,Lv,HP,Str,Mag,Skl,Spd,Luck,Def,Res,Con,Mov,Sword,Lance,Axe,Bow,Dagger,Staff,Anima,Dark,HP Growth,Str Growth,Mag Growth,Skl Growth,Spd Growth,Luck Growth,Def Growth,Res Growth,Skills,Promotes,Promotion Class,HP Gains,Str Gains,Mag Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Dagger Gains,Staff Gains,Anima Gains,Dark Gains,Str Cap,Mag Cap,Skl Cap,Spd Cap,Def Cap,Res Cap
Roseanne,Princess,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169590054588466/Portrait_Editor_lots.gba_202_Roseanne_8ACBFC_trim.png?ex=6842e698&is=68419518&hm=61bd29c68cd27a99f898b3f2ed3714d50fe3a5fc08f85e6bc919f5707902f978&,1,19,3,1,10,12,5,4,1,5,6,None,None,None,None,E,None,None,None,70,30,10,40,60,45,20,15,"Supply, Steal (Liberator)",Yes,Liberator,3,1,6,2,2,2,2,2,1,C,None,None,C,70,C,None,None,15,20,27,30,22,24
Pavo,Hunter,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169590289600554/Portrait_Editor_lots.gba_303_Pavo_8ACC18_trim.png?ex=6842e698&is=68419518&hm=dcb47b2372cde4fb95fcf4a44f288d1e8040b17a01f8b5d9ba38bfcb1352d479&,3,21,8,6,8,11,10,5,4,6,6,None,None,None,B,None,None,None,None,65,30,35,50,65,55,15,15,,Yes,Adventurer,3,2,3,2,2,1,2,1,1,None,None,None,30,None,C,None,None,24,24,27,29,23,23
David,Cavalier,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169590495117402/Portrait_Editor_lots.gba_404_David_8ACC34_trim.png?ex=6842e698&is=68419518&hm=72266dfee264828e3dbab7b9a7dba5c862e9f3c1cd237badeb049ff3a7748ded&,2,27,9,1,8,8,5,8,0,10,7,E,D+20,None,None,None,None,None,None,90,50,5,35,35,30,35,20,Canto,Yes,Paladin,3,2,1,2,2,2,1,1,1,30,30,None,None,None,None,None,None,25,21,28,26,24,25
Aiza,Pegasus Knight,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169590729871553/Portrait_Editor_lots.gba_505_Aiza_8ACC50_trim.png?ex=6842e698&is=68419518&hm=4549ab0e1414ee773c8afd8c82cf16e2d4856c65de1eb3a4e5dec9327e03036c&,1,18,5,7,9,14,8,3,5,6,7,None,D,None,None,None,None,None,None,65,25,40,40,60,40,15,30,Canto,Yes,Falcoknight,3,2,2,2,2,2,2,1,1,C,30,None,None,None,None,None,None,22,24,25,29,22,27
Thunderhead,Flagship,<:AffinAnima:1083548168672792697>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169588913733705/Portrait_Editor_lots.gba_808_T.Head_8ACCA4_trim.png?ex=6842e698&is=68419518&hm=a93c725ae10aadde68dc5a772e48a4ce44bca8f45510708156e4d77d8600b70a&,1,24,6,0,13,4,7,8,0,25,6,None,None,None,E,None,None,None,None,90,55,0,65,40,25,45,10,,No,,,,,,,,,,,None,None,None,None,None,None,None,None,25,20,28,20,30,20
Jules,Armor Knight,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169589291225281/Portrait_Editor_lots.gba_909_Jules_8ACCC0_trim.png?ex=6842e698&is=68419518&hm=5543d9e46d45b3c709e924dd5c64d11b9480c6a4f7af1ac94d0130a7134d5705&,4,27,10,0,6,5,6,13,0,14,5,None,None,C,None,None,None,None,None,100,50,0,30,35,20,45,0,,Yes,General,3,2,0,2,2,3,0,1,1,None,C,30,None,None,None,None,None,28,20,24,22,30,22
Ciera,Thief,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169589572501645/Portrait_Editor_lots.gba_100A_Ciera_8ACCDC_trim.png?ex=6842e698&is=68419518&hm=091b5c4a91208dcc7458a90c063396ac5c73323cfb98c75b84ffeec9d7cb668a&,1,23,6,2,9,13,14,7,6,6,6,None,None,None,None,D,None,None,None,90,25,10,45,45,30,35,10,Steal,Yes,Wolf Knight,4,1,0,2,2,3,2,1,1,C,None,None,None,30,None,None,None,15,20,30,30,20,20
Anton,Pirate,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169640537231552/Portrait_Editor_lots.gba_120C_Anton_8ACD14_trim.png?ex=6842e6a4&is=68419524&hm=4bf00e63e6919c422a8f999c5963530d7c8c96dbd893b5ab949892045a8f6dfa&,3,27,9,0,9,11,7,5,0,10,5,None,None,D,None,None,None,None,None,80,50,0,45,40,35,25,5,"Acrobat, Crit Boost (Berserker)",Yes,Berserker,5,2,0,3,2,0,0,2,1,None,None,30,None,None,None,None,None,30,20,29,28,20,20
Cytherea,Mercenary,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169641690923079/Portrait_Editor_lots.gba_1610_Cytherea_8ACD84_trim.png?ex=6842e6a4&is=68419524&hm=8b8b8eb7f2c34f5b1d2d7f7beb7e74108fa7bfc3d92fc72620921cb24d13f6db&,6,29,9,6,13,15,7,4,3,10,5,D+20,None,None,None,None,None,None,None,60,35,30,55,50,35,20,10,,Yes,Hero,3,2,1,3,2,1,2,2,1,30,None,C,None,None,None,None,None,25,20,30,27,25,20
Mikelo,Shaman,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1380157950529765419/1380169590981660712/Portrait_Editor_lots.gba_606_Mikelo_8ACC6C_trim.png?ex=6842e698&is=68419518&hm=1ab1fb0078705d25d9ce83138b0f5c811198f2c26f19a51356807890758f4f9b&,1,25,1,9,11,7,7,5,5,7,5,None,None,None,None,None,None,None,D,80,0,50,35,25,25,30,20,,Yes,Druid,4,0,3,3,1,3,0,1,1,None,None,None,None,None,D,None,30,20,29,26,26,21,28
