Name,Display Name,Description,Type,Weapon Type,Uses,Mt,Hit,Wt,Crit,Range,Price Per Use,Display Price,Weapon Level,WEXP,Icon
IronSword,Iron Sword,None,Weapon,Sword,40,5,90,5,0,1,10,Yes,E,1,https://i.ibb.co/wJHXYVS/row-1-column-1.png
SteelSword,Steel Sword,None,Weapon,Sword,35,8,80,8,0,1,20,Yes,D,1,https://i.ibb.co/FgWRVQw/row-1-column-2.png
MythrilSword,Mythril Sword,None,Weapon,Sword,30,12,85,6,0,1,50,Yes,B,1,https://i.ibb.co/v3Z5KpL/row-1-column-3.png
DiamondSword,Diamond Sword,None,Weapon,Sword,50,16,90,8,0,1,40,Yes,A,1,https://i.ibb.co/34cL9K3/row-1-column-4.png
AncientSword,Ancient Sword,Brave,Weapon,Sword,30,9,75,9,0,1,100,Yes,A,1,https://i.ibb.co/xfKKJkd/row-1-column-5.png
Boomerang,Boomerang,None,Weapon,Sword,25,3,75,4,0, 1-2,20,Yes,E,1,https://i.ibb.co/qy2n7km/row-1-column-6.png
QMerang,Q-Merang,Brave,Weapon,Sword,16,6,70,9,0, 1-2,180,Yes,B,1,https://i.ibb.co/jJX0hj1/row-1-column-7.png
KillingEdge,Killing Edge,None,Weapon,Sword,25,9,80,7,25,1,50,Yes,C,1,https://i.ibb.co/mcsF6Xv/row-1-column-8.png
ColdSword,Cold Sword,"Magical, Inflicts -2 Spd",Weapon,Sword,25,10,80,8,0, 1-2,44,Yes,C,1,https://i.ibb.co/XCS7nc6/row-1-column-11.png
Lancereaver,Lancereaver,Reaver,Weapon,Sword,25,7,75,8,5,1,40,Yes,D,1,https://i.ibb.co/5WxWjgv/row-1-column-9.png
Wyrmslayer,Wyrmslayer,Effective vs dragons.,Weapon,Sword,25,9,80,9,5,1,40,Yes,C,1,https://i.ibb.co/4KygthY/row-1-column-10.png
Kampilan,Kampilan,Myrm Lock only.,Weapon,Sword,20,8,75,5,35,1,100,Yes,D,3,https://i.ibb.co/JzNQ9BQ/row-9-column-6.png
IronLance,Iron Lance,None,Weapon,Lance,40,7,80,7,0,1,8,Yes,E,1,https://i.ibb.co/M2w7ys7/row-2-column-1.png
SteelLance,Steel Lance,None,Weapon,Lance,35,10,70,10,0,1,16,Yes,D,1,https://i.ibb.co/b5DrMrL/row-2-column-2.png
MythrilLance,Mythril Lance,None,Weapon,Lance,30,14,75,8,0,1,40,Yes,B,1,https://i.ibb.co/4tnKtwc/row-2-column-3.png
DiamondShovel,Diamond Shovel,None,Weapon,Lance,50,18,80,10,0,1,36,Yes,A,1,https://i.ibb.co/HBnFqFy/row-2-column-4.png
AncientLance,Ancient Lance,Brave,Weapon,Lance,30,11,65,11,0,1,90,Yes,A,1,https://i.ibb.co/gJ2ppqP/row-2-column-5.png
Javelin,Javelin,None,Weapon,Lance,25,5,65,9,0, 1-2,16,Yes,D,1,https://i.ibb.co/dBTbjGr/row-2-column-6.png
YamatoSpear,Yamato Spear,None,Weapon,Lance,15,12,70,11,0, 1-2,160,Yes,B,1,https://i.ibb.co/Yjxt4RB/row-2-column-7.png
KillerLance,Killer Lance,None,Weapon,Lance,25,11,70,9,25,1,44,Yes,C,1,https://i.ibb.co/bbh1Qq9/row-2-column-8.png
FireLance,Fire Lance,"Magical, Inflicts -2 Str",Weapon,Lance,25,12,70,10,0, 1-2,40,Yes,C,1,https://i.ibb.co/RHHzd7j/row-2-column-11.png
Axereaver,Axereaver,Reaver,Weapon,Lance,25,9,65,10,5,1,36,Yes,D,1,https://i.ibb.co/YPt3wJY/row-2-column-9.png
Ridersbane,Ridersbane,Effective vs cavalry.,Weapon,Lance,25,11,70,11,5,1,36,Yes,C,1,https://i.ibb.co/020vP8v/row-2-column-10.png
IronAxe,Iron Axe,None,Weapon,Axe,40,9,70,9,0,1,6,Yes,E,1,https://i.ibb.co/4pfHNG8/row-3-column-1.png
SteelAxe,Steel Axe,None,Weapon,Axe,35,12,60,12,0,1,12,Yes,D,1,https://i.ibb.co/LtH6YD0/row-3-column-2.png
MythrilAxe,Mythril Axe,None,Weapon,Axe,30,16,65,10,0,1,30,Yes,B,1,https://i.ibb.co/cFHQJjp/row-3-column-3.png
DiamondAxe,Diamond Axe,None,Weapon,Axe,50,20,70,12,0,1,32,Yes,A,1,https://i.ibb.co/hcV43cK/row-3-column-4.png
AncientAxe,Ancient Axe,Brave,Weapon,Axe,30,13,55,13,0,1,80,Yes,A,1,https://i.ibb.co/3BgkdX7/row-3-column-5.png
HandAxe,Hand Axe,None,Weapon,Axe,25,7,55,11,0, 1-2,12,Yes,D,1,https://i.ibb.co/VNyyDBb/row-3-column-6.png
Tomahawk,Tomahawk,None,Weapon,Axe,15,14,60,13,0, 1-2,140,Yes,B,1,https://i.ibb.co/d0PGbHv/row-3-column-7.png
KillerAxe,Killer Axe,None,Weapon,Axe,25,13,60,11,25,1,40,Yes,C,1,https://i.ibb.co/7SBFJ3W/row-3-column-8.png
BoltAxe,Bolt Axe,"Magical, Inflicts -2 Skl",Weapon,Axe,25,14,60,12,0, 1-2,36,Yes,C,1,https://i.ibb.co/SNbT8B7/row-3-column-11.png
Swordreaver,Swordreaver,Reaver,Weapon,Axe,25,11,55,12,5,1,32,Yes,D,1,https://i.ibb.co/NycPs0Q/row-3-column-9.png
Hammer,Hammer,Effective vs armor.,Weapon,Axe,25,13,60,13,5,1,32,Yes,D,1,https://i.ibb.co/Z1T8RtY/row-3-column-10.png
DaedricAxe,Daedric Axe,30-Luck% chance to backfire.,Weapon,Axe,20,20,60,9,0,1,450,Yes,E,8,https://i.ibb.co/jWHWv3x/row-9-column-7.png
IronBow,Iron Bow,Effective vs fliers.,Weapon,Bow,40,6,95,5,0,2,12,Yes,E,1,https://i.ibb.co/4fs5x05/row-4-column-1.png
SteelBow,Steel Bow,Effective vs fliers.,Weapon,Bow,35,9,85,8,0,2,22,Yes,D,1,https://i.ibb.co/gFmZhhg/row-4-column-2.png
MythrilBow,Mythril Bow,Effective vs fliers.,Weapon,Bow,30,13,90,6,0,2,55,Yes,B,1,https://i.ibb.co/2Y4qRBf/row-4-column-3.png
AncientBow,Ancient Bow,"Brave, Effective vs fliers.",Weapon,Bow,30,10,80,8,0,2,120,Yes,A,1,https://i.ibb.co/q18jfb5/row-4-column-5.png
GaleBow,Gale Bow,"Magical, Inflicts -2 Luck, Effective vs fliers.",Weapon,Bow,25,11,85,9,0, 1-2,50,Yes,C,1,https://i.ibb.co/hC3NJnt/row-4-column-11.png
Crossbow,Crossbow,Effective vs cavalry.,Weapon,Bow,37,7,75,7,25, 1-2,25,Yes,C,1,https://i.ibb.co/6JfFjTr/row-4-column-6.png
Longbow,Longbow,Effective vs fliers.,Weapon,Bow,20,5,70,10,0, 3-5,50,Yes,D,2,https://i.ibb.co/4KDwHkd/row-4-column-7.png
Longerbow,Longerbow,Effective vs fliers.,Weapon,Bow,15,8,60,12,0, 3-10,200,Yes,B,2,https://i.ibb.co/4KDwHkd/row-4-column-7.png
Longestbow,Longestbow,Effective vs fliers.,Weapon,Bow,10,10,50,15,0, 3-15,400,Yes,S,2,https://i.ibb.co/4KDwHkd/row-4-column-7.png
Musket,Musket,Ignore 50% Def,Weapon,Gun,40,20,65,9,0, 1-3,24,Yes,NoRank,0,https://i.ibb.co/xzkd1C9/row-9-column-8.png
MachineGun,Machine Gun,"Brave, Ignore 50% Def",Weapon,Gun,32,17,76,13,0, 1-3,47,Yes,NoRank,0,https://i.ibb.co/jGMCfzL/row-9-column-9.png
MegaBuster,Mega Buster,Ignore 70% Def,Weapon,Gun,28,28,70,11,0, 1-3,110,Yes,NoRank,0,https://i.ibb.co/wr5KH4w/row-9-column-10.png
LaserGun,Laser Gun,Ignore 50% Res,Weapon,Gun,30,25,70,12,5, 1-3,66,Yes,NoRank,0,https://i.ibb.co/yyMQwGY/row-9-column-11.png
Arrowspate,Arrowspate,"Siege, Effective vs fliers.",Weapon,Ballista,27,12,80,12,0, 3-6,40,Yes,NoRank,0,https://i.ibb.co/dfYW5Gt/row-9-column-1.png
Hoistflamme,Hoistflamme,"Siege, Effective vs cavalry.",Weapon,Ballista,23,15,90,13,0, 3-8,60,Yes,NoRank,0,https://i.ibb.co/DWHSQpV/row-9-column-2.png
Thunderbolt,Thunderbolt,"Magic, Siege, Effective vs machines. [Thunderstorm]",Weapon,Ballista,23,12,80,11,10, 3-10,70,Yes,NoRank,0,https://i.ibb.co/Lkn66Dq/row-9-column-3.png
CobCannon,Cob Cannon,"Siege, Effective vs monsters +Guardian.",Weapon,Ballista,25,18,70,14,0, 3-12,140,Yes,NoRank,0,https://i.ibb.co/d43WWMQ/row-9-column-4.png
Elephant,Elephant,Siege,Weapon,Ballista,25,24,60,15,0, 3-15,180,Yes,NoRank,0,https://i.ibb.co/vX5Y1Cd/row-9-column-5.png
Flames,Flames,Inflicts -1 Str,Weapon,Anima,40,5,85,5,0, 1-2,12,Yes,E,1,https://i.ibb.co/vdbWdsm/row-6-column-1.png
Frostbite,Frostbite,Inflicts -1 Spd,Weapon,Anima,37,7,80,6,5, 1-2,20,Yes,D,1,https://i.ibb.co/DzpGwF3/row-6-column-2.png
Sparks,Sparks,Effective vs machines.,Weapon,Anima,32,6,70,7,0, 1-3,25,Yes,D,2,https://i.ibb.co/7vtTD3G/row-6-column-6.png
Fireball,Fireball,Inflicts -2 Str,Weapon,Anima,35,10,75,9,0, 1-2,30,Yes,C,1,https://i.ibb.co/swQvY1G/row-6-column-3.png
TriAttack,Tri Attack,Inflicts -1 Str/Skl/Spd,Weapon,Anima,30,9,60,12,15, 1-3,45,Yes,C,2,https://i.ibb.co/0q1Bzfy/row-6-column-7.png
Bombos,Bombos,"Inflicts -2 Str/1 Mag, Effective vs cavalry.",Weapon,Anima,32,12,75,8,5, 1-2,50,Yes,B,1,https://i.ibb.co/Q8s4FLm/row-6-column-8.png
Ether,Ether,"Inflicts -2 Spd/1 Skl, Effective vs fliers.",Weapon,Anima,32,11,85,8,5, 1-2,50,Yes,B,1,https://i.ibb.co/ryD73FP/row-6-column-9.png
Quake,Quake,"Inflicts -2 Def/1 Res, Effective vs armor.",Weapon,Anima,32,13,65,8,5, 1-2,50,Yes,B,1,https://i.ibb.co/VgG7vr3/row-6-column-10.png
Thunderstorm,Thunderstorm,"Siege, Effective vs machines.",Weapon,Anima,5,12,60,15,0, 4-8,400,Yes,B,2,https://i.ibb.co/NV5R82j/row-6-column-4.png
Blizzard,Blizzard,Inflicts -3 Spd,Weapon,Anima,25,14,85,10,5, 1-2,100,Yes,A,1,https://i.ibb.co/vjbW7KS/row-6-column-5.png
Photon,Photon,Inflicts -1 Def,Weapon,Light,40,4,95,3,0, 1-2,16,Yes,E,1,https://i.ibb.co/kmhNMCW/row-7-column-1.png
Belmont,Belmont,4x Effective vs monsters.,Weapon,Light,35,6,85,6,5, 1-2,26,Yes,D,1,https://i.ibb.co/ng729sy/row-7-column-2.png
Stendarr,Stendarr,Inflicts -2 Def,Weapon,Light,25,8,80,7,25, 1-2,54,Yes,C,1,https://i.ibb.co/zsyGRz3/row-7-column-3.png
Banish,Banish,"Inflicts -2 Def/1 Res, 4x Effective vs monsters.",Weapon,Light,30,10,90,8,10, 1-2,60,Yes,B,1,https://i.ibb.co/JzXf79J/row-7-column-6.png
Meridia,Meridia,Siege,Weapon,Light,5,10,70,14,0, 4-8,500,Yes,B,2,https://i.ibb.co/W6GsHJ4/row-7-column-4.png
Talos,Talos,Inflicts -3 Def,Weapon,Light,25,12,95,9,5, 1-2,120,Yes,A,1,https://i.ibb.co/ZS9vy70/row-7-column-5.png
Flux,Flux,Inflicts -1 Res,Weapon,Dark,40,8,75,7,0, 1-2,20,Yes,E,1,https://i.ibb.co/QFVGBKj/row-8-column-1.png
DVoid,D'Void,Inflicts -2 Res,Weapon,Dark,35,11,65,10,0, 1-2,30,Yes,D,1,https://i.ibb.co/rM3cKcZ/row-8-column-2.png
Nosferatu,Nosferatu,"Can't Crit, Drains enemy HP into caster.",Weapon,Dark,20,9,65,12,0, 1-2,90,Yes,C,1,https://i.ibb.co/Bjj4Jwm/row-8-column-3.png
Vaermina,Vaermina,"Can't Double, Ignore 100% Res",Weapon,Dark,30,0,80,12,10, 1-2,60,Yes,C,2,https://i.ibb.co/xHNKh4k/row-8-column-6.png
Maleficent,Maleficent,"Inflicts -2 Res/1 Def, Effective vs knights.",Weapon,Dark,30,14,70,11,0, 1-2,70,Yes,B,1,https://i.ibb.co/q7nnC3T/row-8-column-7.png
Nothebis,Nothebis,Siege,Weapon,Dark,5,14,50,16,0, 4-8,600,Yes,B,2,https://i.ibb.co/gMMKx5B/row-8-column-4.png
Mehrunes,Mehrunes,Inflicts -3 Res,Weapon,Dark,25,16,75,12,5, 1-2,140,Yes,A,1,https://i.ibb.co/2Wz9JKj/row-8-column-5.png
Heal,Heal,Heal 8+Mag,Staff,Staff,30,8,100,0,0,1,20,Yes,E,2,https://i.ibb.co/0Fdmk1M/row-5-column-1.png
Mend,Mend,Heal 16+Mag,Staff,Staff,20,16,100,0,0,1,50,Yes,D,3,https://i.ibb.co/K77cs4P/row-5-column-2.png
Recover,Recover,Heal 64+Mag,Staff,Staff,15,64,100,0,0,1,140,Yes,B,3,https://i.ibb.co/VTjDGSn/row-5-column-3.png
Physic,Physic,Heal 8+Mag at range.,Staff,Staff,15,8,100,0,0,Mag/2,160,Yes,C,3,https://i.ibb.co/0BQQmpr/row-5-column-4.png
PizzaTime,Pizza Time,Heal 8+Mag to all in range.,Staff,Staff,12,8,100,0,0,Mag/2,500,Yes,A,3,https://i.ibb.co/QbxmtFj/row-5-column-5.png
Esuna,Esuna,Restore status.,Staff,Staff,10,0,100,0,0,1,200,Yes,D,3,https://i.ibb.co/tzBnBCX/row-4-column-4.png
ByrnaCane,Byrna Cane,Barrier,Staff,Staff,18,0,100,0,0,1,100,Yes,D,4,https://i.ibb.co/JHGfDGB/row-5-column-10.png
FireRod,Fire Rod,Torch,Staff,Staff,8,0,100,0,0,Mag/2,200,Yes,C,4,https://i.ibb.co/pf4RJ6C/row-5-column-7.png
IceRod,Ice Rod,Inflicts Freeze (Sleep),Staff,Staff,4,0,30,0,0,Mag/2,400,Yes,C,4,https://i.ibb.co/FHDm2kj/row-5-column-6.png
LightningRod,Lightning Rod,Inflicts Paralyze (Silence),Staff,Staff,3,0,30,0,0,Mag/2,500,Yes,B,4,https://i.ibb.co/TKKNp6Z/row-5-column-8.png
SomariaCane,Somaria Cane,Light Rune,Staff,Staff,8,0,100,0,0,1,400,Yes,B,4,https://i.ibb.co/0cqWPpR/row-5-column-9.png
PacciCane,Pacci Cane,Inflicts Confuse (Berserk),Staff,Staff,3,0,30,0,0,Mag/2,600,Yes,A,4,https://i.ibb.co/Ss7j1gB/row-5-column-11.png
Unlock,Unlock,Opens doors at range.,Staff,Staff,10,0,100,0,0, 1-2,100,Yes,D,4,https://i.ibb.co/P1tBz8d/row-4-column-8.png
