Name,Partner 1,Partner 2,Partner 3,Partner 4,Partner 5,Partner 6,Partner 7,Starting Value 1,Starting Value 2,Starting Value 3,Starting Value 4,Starting Value 5,Starting Value 6,Starting Value 7,Growth 1,Growth 2,Growth 3,Growth 4,Growth 5,Growth 6,Growth 7
Arianna,Scott<:AffinFire:1083548172254720080>,Katie<:AffinThunder:1083548174637084703>,Christine<:AffinWind:1083548175928926208>,0,0,0,0,81,61,79,0,0,0,0,21,21,112,0,0,0,0
Nancy,Kayla<:AffinLight:1083548171281641583>,Scott<:AffinFire:1083548172254720080>,Kristia<:AffinAnima:1083548168672792697>,Keegan<:AffinDark:1083548169901707285>,Luke<:AffinWind:1083548175928926208>,Serah<:AffinLight:1083548171281641583>,Will<:AffinAnima:1083548168672792697>,61,61,61,61,61,61,61,21,21,21,21,21,21,21
Scott,Arianna<:AffinIce:1083548173190045817>,Nancy<:AffinThunder:1083548174637084703>,Moses<:AffinWind:1083548175928926208>,0,0,0,0,81,61,79,0,0,0,0,21,21,112,0,0,0,0
Weston,Sarah<:AffinThunder:1083548174637084703>,Shelton<:AffinWind:1083548175928926208>,Alex<:AffinWind:1083548175928926208>,0,0,0,0,61,79,79,0,0,0,0,21,48,80,0,0,0,0
Sammy,Keegan<:AffinDark:1083548169901707285>,Emily<:AffinWind:1083548175928926208>,Reilly<:AffinThunder:1083548174637084703>,0,0,0,0,61,61,79,0,0,0,0,21,21,24,0,0,0,0
Kayla,Nancy<:AffinThunder:1083548174637084703>,Kristia<:AffinAnima:1083548168672792697>,Johann<:AffinAnima:1083548168672792697>,0,0,0,0,61,61,79,0,0,0,0,21,21,80,0,0,0,0
Sarah,Weston<:AffinWind:1083548175928926208>,Ariel<:AffinWind:1083548175928926208>,Alyssa<:AffinFire:1083548172254720080>,0,0,0,0,61,61,79,0,0,0,0,21,21,112,2,3,0,0
Joe,Andrew<:AffinLight:1083548171281641583>,Jeremiah<:AffinIce:1083548173190045817>,Lydia<:AffinIce:1083548173190045817>,0,0,0,0,79,61,79,0,0,0,0,21,21,112,0,0,0,0
Jeremiah,Michelle<:AffinFire:1083548172254720080>,Jordan<:AffinDark:1083548169901707285>,Joe<:AffinIce:1083548173190045817>,0,0,0,0,79,61,61,5,10,0,0,24,21,21,2,2,0,0
Keegan,Will<:AffinAnima:1083548168672792697>,Nancy<:AffinThunder:1083548174637084703>,Sammy<:AffinFire:1083548172254720080>,0,0,0,0,79,61,61,5,5,0,0,21,21,21,3,2,0,0
Katie,Brandon<:AffinLight:1083548171281641583>,Arianna<:AffinIce:1083548173190045817>,Michelle<:AffinFire:1083548172254720080>,0,0,0,0,81,61,61,5,10,0,64,22,21,21,3,2,2,5
Andrew,Joe<:AffinIce:1083548173190045817>,Reid<:AffinFire:1083548172254720080>,Jordan<:AffinDark:1083548169901707285>,0,0,0,0,79,79,61,3,0,0,0,21,112,21,0,0,0,0
Kristia,Nancy<:AffinThunder:1083548174637084703>,Kayla<:AffinLight:1083548171281641583>,Emily<:AffinWind:1083548175928926208>,0,0,0,0,61,61,79,0,0,0,0,21,21,21,0,0,0,0
Michelle,Jeremiah<:AffinIce:1083548173190045817>,Katie<:AffinThunder:1083548174637084703>,Alex<:AffinWind:1083548175928926208>,0,0,0,0,79,61,79,0,0,0,0,24,21,80,0,0,0,0
Kenneth,0,0,0,0,0,0,0,0,0,5,5,10,15,0,3,2,2,2,3,3,0
Nikko,Brandon<:AffinLight:1083548171281641583>,Reilly<:AffinThunder:1083548174637084703>,Wade<:AffinAnima:1083548168672792697>,0,0,0,0,79,57,57,0,0,0,0,24,22,22,0,0,0,0
Luke,Nancy<:AffinThunder:1083548174637084703>,Serah<:AffinLight:1083548171281641583>,Ryan<:AffinAnima:1083548168672792697>,0,0,0,0,61,62,15,0,0,0,0,21,21,64,0,0,0,0
Shelton,Weston<:AffinWind:1083548175928926208>,Ryan<:AffinAnima:1083548168672792697>,Wade<:AffinAnima:1083548168672792697>,0,0,0,0,79,31,31,0,0,0,0,48,48,48,0,0,0,0
Reilly,Sammy<:AffinFire:1083548172254720080>,Nikko<:AffinIce:1083548173190045817>,Cale<:AffinAnima:1083548168672792697>,0,0,0,0,79,57,79,0,0,0,0,24,22,32,0,0,0,0
Reid,Andrew<:AffinLight:1083548171281641583>,Brandon<:AffinLight:1083548171281641583>,Ariel<:AffinWind:1083548175928926208>,0,0,0,0,79,79,79,0,0,0,0,112,112,112,0,0,0,0
Ryan,Luke<:AffinWind:1083548175928926208>,Shelton<:AffinWind:1083548175928926208>,Lydia<:AffinIce:1083548173190045817>,0,0,0,0,15,31,79,0,0,0,0,64,48,112,0,0,0,0
Emily,Nike<:AffinDark:1083548169901707285>,Kristia<:AffinAnima:1083548168672792697>,Sammy<:AffinFire:1083548172254720080>,0,0,0,0,31,79,61,5,0,0,0,48,21,21,2,0,0,0
