Name,Class,Affinity,Portrait,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Move,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,Promotion Class,HP Gains,Atk Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Staff Gains,Anima Gains,Light Gains,Dark Gains
Arianna,Huntress,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721941372710973/7s_mug00.png,2,19,6,8,10,3,2,6,7,5,None,None,None,D,None,None,None,None,70,50,50,55,20,30,40,Commander,4,2,2,1,3,2,1,2,None,None,None,+50,None,None,None,None
Scott,Privateer,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721942249328690/7s_mug02.png,2,24,9,4,7,5,0,7,12,5,None,None,D,None,None,None,None,None,95,60,30,40,25,20,25,Sergeant,5,2,5,1,1,2,1,1,None,None,+40,None,None,None,None,None
Sammy,Lance Armor,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721942622613565/7s_mug03.png,5,26,10,8,4,12,2,5,13,5,None,C,None,None,None,None,None,None,105,60,35,15,50,10,30,General,4,2,3,2,2,2,2,1,C+10,50,C+10,None,None,None,None,None
Weston,Sword Knight,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721943025262682/7s_mug04.png,2,21,7,7,7,6,0,6,10,7,D,None,None,None,None,None,None,None,75,45,45,45,30,20,30,Light Paladin,2,2,1,1,2,2,2,1,None,D,None,None,None,None,None,None
Kayla,Cleric,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721943373402132/7s_mug05.png,6,20,9,7,9,4,9,7,6,5,None,None,None,None,C,None,None,None,60,70,40,25,25,55,30,Bishop,3,2,2,1,3,2,1,1,None,None,None,None,+40,None,D,None
Sarah,Pegasus Knight,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721943671189664/7s_mug06.png,2,18,5,7,11,5,6,6,5,7,None,D,None,None,None,None,None,None,65,25,50,55,15,50,35,Falcoknight,2,2,1,1,2,2,1,1,D,None,None,None,None,None,None,None
Jeremiah,Wyvern Knight,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721944656850995/7s_mug08.png,11,30,13,9,9,8,2,6,12,7,None,C,None,None,None,None,None,None,80,40,40,35,40,20,35,Wyvern Lord,2,1,2,2,1,2,1,1,None,None,D,None,None,None,None,None
Katie,Blademaiden,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721944078045315/7s_mug07.png,7,25,9,13,12,5,3,7,7,5,C,None,None,None,None,None,None,None,75,40,50,55,20,15,50,Blade Knight,3,3,1,1,2,2,2,2,+70,None,None,None,None,None,None,None
Keegan,Sword Thief,<:AffinDark:1083548169901707285>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721945172746371/7s_mug09.png,5,21,6,7,12,5,1,8,9,6,D,None,None,None,None,None,None,None,80,50,40,50,20,15,40,Assassin,3,3,3,1,2,2,2,0,+70,None,None,C,None,None,None,None
Joe,Warrior,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721984926363698/7s_mug10.png,5,43,15,19,9,12,6,10,17,6,None,None,C,A,None,None,None,None,75,35,45,15,25,25,25,None,,,,,,,,,None,None,None,None,None,None,None,None
Shelton,Bow Knight,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721985173815416/7s_mug11.png,15,29,11,11,16,5,4,15,8,7,None,None,None,B,None,None,None,None,70,35,50,50,20,25,45,Arch Paladin,2,1,2,2,1,2,2,1,None,None,None,+40,None,None,None,None
Kristia,Shaman,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1043928901610643456/1081721985417105459/7s_mug12.png,9,27,12,6,5,8,8,11,9,5,None,None,None,None,None,None,None,C,80,60,40,10,35,45,40,Summoner,4,1,2,3,1,1,1,1,None,None,None,None,None,None,None,+40
Michelle,Myrmidon,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721985685532782/7s_mug13.png,11,23,10,14,15,6,5,6,5,5,C,None,None,None,None,None,None,None,65,35,60,60,20,45,20,Swordmaster,4,3,1,1,2,2,2,1,+40,None,None,None,None,None,None,None
Brandon,Captain,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721986021064724/7s_mug14.png,1,36,14,12,14,10,3,8,11,7,None,B,None,None,None,None,None,None,80,40,45,35,25,25,30,None,,,,,,,,,None,None,None,None,None,None,None,None
Nancy,Hero,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721986377601044/7s_mug15.png,3,33,11,19,16,8,7,14,10,6,C,None,A,None,None,None,None,None,65,25,45,35,15,25,30,None,,,,,,,,,None,None,None,None,None,None,None,None
Luke,Axe Knight,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721986658611301/7s_mug16.png,7,28,11,8,6,10,2,6,14,7,None,None,D,None,None,None,None,None,105,50,35,30,45,20,35,Heavy Paladin,5,1,2,2,1,2,1,1,None,D,None,None,None,None,None,None
Nikko,Axe Armor,<:AffinIce:1083548173190045817>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721986943811715/7s_mug17.png,15,35,14,18,4,17,1,11,14,5,None,None,B,None,None,None,None,None,120,45,40,10,55,20,20,General,4,2,3,2,2,2,2,1,C+10,C+10,+50,None,None,None,None,None
Wade,Bishop,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1043928901610643456/1081721987258404954/7s_mug18.png,1,34,10,14,11,11,13,5,7,6,None,None,None,None,B,None,C,None,75,20,35,35,45,40,30,None,,,,,,,,,None,None,None,None,None,None,None,None
Andrew,Monk,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1043928901610643456/1081721987669438575/7s_mug19.png,6,24,8,9,10,3,7,6,8,5,None,None,None,None,None,None,D,None,70,30,50,65,15,45,30,Bishop,3,2,2,1,3,2,1,1,None,None,None,None,D,None,+70,None
Reilly,Soldier,<:AffinThunder:1083548174637084703>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722017302204466/7s_mug20.png,10,29,11,11,13,8,3,9,10,5,None,C,None,None,None,None,None,None,80,50,40,50,30,25,35,Halberdier,3,2,2,1,3,3,3,1,None,+70,None,None,None,None,None,None
Reid,Bard,<:AffinFire:1083548172254720080>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722017503518781/7s_mug21.png,10,28,1,2,16,7,9,16,7,5,None,None,None,None,None,None,None,None,85,5,10,50,30,50,120,None,,,,,,,,,None,None,None,None,None,None,None,None
Ryan,Great Knight,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1043928901610643456/1081722017742598234/7s_mug22.png,4,45,15,12,11,18,7,10,13,7,C,B,D,None,None,None,None,None,90,40,50,20,40,20,20,None,,,,,,,,,None,None,None,None,None,None,None,None
Emily,Mage Knight,<:AffinWind:1083548175928926208>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722018212360312/7s_mug24.png,1,29,10,12,15,5,6,10,7,7,None,None,None,None,E,B,None,None,70,35,35,50,15,60,35,None,,,,,,,,,None,None,None,None,None,None,None,None
Will,Mage,<:AffinAnima:1083548168672792697> ,https://cdn.discordapp.com/attachments/1043928901610643456/1081722017998458970/7s_mug23.png,1,18,4,6,6,2,3,5,5,5,None,None,None,None,None,E,None,None,60,85,50,40,10,45,45,Sage,4,0,2,2,2,2,1,1,None,None,None,None,E,+40,D,None
Serah,Medic,<:AffinLight:1083548171281641583>,https://cdn.discordapp.com/attachments/1043928901610643456/1081722018413695048/7s_mug25.png,8,24,2,8,11,2,11,11,4,7,None,None,None,None,D,None,None,None,60,35,40,65,15,50,35,Deliverer,2,2,1,1,2,1,2,1,None,None,None,None,None,None,D,None
