Name,Class,Affinity,Portrait,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Move,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,Promotion Class,HP Gains,Atk Gains,Skl Gains,Spd Gains,Def Gains,Res Gains,Con Gains,Mov Gains,Sword Gains,Lance Gains,Axe Gains,Bow Gains,Staff Gains,Anima Gains,Light Gains,Dark Gains
Siegfried,Knight Errant,Thunder,https://media.discordapp.net/attachments/1081990677140869281/1082019713145634936/Siegfried.png,1,28,7,9,10,6,3,4,12,7,S,B,None,None,None,None,None,None,120,70,90,90,60,40,40,None,,,,,,,,,None,None,None,None,None,None,None,None
Shon,Gallant,Wind,https://media.discordapp.net/attachments/1081990677140869281/1082019646942740591/Shon.png,1,17,5,6,7,5,2,7,7,7,D,E,None,None,None,None,None,None,70,40,50,45,25,25,35,Arch Knight,5,2,2,2,3,2,2,1,None,+30,None,None,None,None,None,None
Corben,Cavalier,Fire,https://media.discordapp.net/attachments/1081990677140869281/1082019411361280133/Corben.png,1,22,6,7,6,6,2,8,10,7,E,D,None,None,None,None,None,None,85,40,50,35,30,20,50,Paladin,2,1,1,1,2,1,2,1,+30,+30,E,None,None,None,None,None
Tamiko,Cleric,Light,https://media.discordapp.net/attachments/1081990677140869281/1082019713573453974/Tamiko.png,1,18,4,4,5,3,6,4,4,5,None,None,None,None,E,None,None,None,65,45,45,40,25,40,30,Bishop,3,1,2,1,2,2,1,1,None,None,None,None,+40,None,D,None
Shuuda,Mercenary,Thunder,https://media.discordapp.net/attachments/1081990677140869281/1082019647211188354/Shuuda.png,4,22,9,12,12,6,3,4,9,5,C,None,None,None,None,None,None,None,75,50,50,50,20,25,25,Hero,4,0,2,2,2,2,1,1,+40,None,E,None,None,None,None,None
Inanna,Pegasus Knight,Light,https://media.discordapp.net/attachments/1081990677140869281/1082019561609642054/Inanna.png,1,18,6,6,8,5,3,5,7,7,None,E,None,None,None,None,None,None,60,40,50,55,15,35,50,Falcoknight,5,2,0,0,2,2,1,1,E,+40,None,None,None,None,None,None
Kevin,Knight,Thunder,https://media.discordapp.net/attachments/1081990677140869281/1082072306957955223/Kevin.png,3,22,8,6,4,13,3,4,14,4,None,D,None,None,None,None,None,None,105,55,45,35,40,15,25,General,4,2,2,3,2,3,2,1,None,+40,E,None,None,None,None,None
Arthur,Monk,Light,https://media.discordapp.net/attachments/1081990677140869281/1082019410031689819/Arthur.png,1,23,6,4,6,4,9,2,6,5,None,None,None,None,None,None,None,None,120,65,45,40,20,40,40,Bishop,3,2,1,0,3,2,1,1,None,None,None,None,C,None,+30,None
Storm,Nomad,Thunder,https://media.discordapp.net/attachments/1081990677140869281/1082019713405685800/Storm.png,3,24,7,7,9,5,1,2,7,7,None,None,None,C,None,None,None,None,70,50,50,60,25,20,40,Nomad Trooper,3,2,1,1,3,3,1,1,E,None,None,+40,None,None,None,None
Althares,Thief,Ice,https://media.discordapp.net/attachments/1081990677140869281/1082019409163468870/Althares.png,3,18,6,5,12,5,2,4,7,6,D,None,None,None,None,None,None,None,75,40,45,70,25,15,45,Assassin,3,1,0,0,2,2,0,0,None,None,None,None,None,None,None,None
Cia,Mage,Anima,https://media.discordapp.net/attachments/1081990677140869281/1082019411046695032/Cia.png,1,16,7,5,9,4,5,7,5,5,None,None,None,None,None,D,None,None,55,50,40,65,15,35,45,Sage,3,1,2,1,2,2,1,1,None,None,None,None,E,+40,None,None
Noah,Hero,Anima,https://media.discordapp.net/attachments/1081990677140869281/1082019645206306866/Noah.png,1,29,12,16,15,13,7,13,10,6,B,None,B,None,None,None,None,None,110,60,45,45,30,25,40,None,,,,,,,,,None,None,None,None,None,None,None,None
Anakin,Vagrant,Light,https://media.discordapp.net/attachments/1081990677140869281/1082019409410928791/Anakin.png,1,20,5,3,9,3,6,6,7,5,None,None,None,None,None,None,E,None,55,35,65,50,30,45,75,Noble,4,2,0,0,2,1,2,1,None,None,None,None,E,None,+120,None
